Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,-4.3,-7.7,-5.8,14.7,13.4,48.6,18329.61
2000-01-02,-5.9,-11.1,-8.6,0.1,5.2,16.9,25541.27
2000-01-03,-6.2,-12.0,-10.1,0.0,8.9,24.8,26587.86
2000-01-04,-4.0,-12.9,-8.9,0.0,7.7,22.3,26790.41
2000-01-05,-2.7,-10.1,-6.7,0.0,4.7,18.7,27753.18
2000-01-06,-3.1,-6.8,-4.7,2.0,9.2,27.0,14416.83
2000-01-07,-4.0,-7.8,-5.5,0.9,10.2,28.4,22782.29
2000-01-08,-3.3,-9.9,-7.2,0.0,6.2,15.8,28629.96
2000-01-09,-3.5,-11.7,-8.1,0.0,4.6,11.5,29362.03
2000-01-10,-2.4,-14.5,-8.7,0.0,5.2,10.4,28117.75
2000-01-11,-6.4,-12.0,-9.4,0.0,6.5,19.1,28924.76
2000-01-12,-4.3,-10.6,-7.9,0.0,5.0,18.0,29637.02
2000-01-13,-4.4,-11.6,-8.3,0.0,4.4,10.8,23854.72
2000-01-14,-2.8,-12.3,-7.9,0.0,5.5,15.5,29232.2
2000-01-15,-0.6,-10.9,-6.3,0.0,5.8,18.4,29942.68
2000-01-16,-3.2,-11.0,-7.8,0.0,5.2,13.7,25510.19
2000-01-17,-5.0,-11.8,-8.5,0.0,10.1,32.8,30161.45
2000-01-18,-2.6,-7.5,-5.0,4.6,17.8,66.2,25239.04
2000-01-19,-3.7,-8.5,-6.2,2.6,20.9,54.7,30391.13
2000-01-20,-7.4,-11.7,-9.6,1.4,14.5,50.0,30511.43
2000-01-21,-2.1,-14.5,-8.7,0.3,11.2,55.8,30635.76
2000-01-22,-3.7,-14.8,-8.8,0.4,24.6,72.0,30763.87
2000-01-23,-3.4,-18.7,-11.2,0.3,11.7,38.9,13518.92
2000-01-24,-5.5,-11.1,-7.1,3.8,10.4,31.3,25250.14
2000-01-25,-10.1,-14.8,-12.4,1.3,8.7,24.1,16626.67
2000-01-26,-9.4,-20.1,-14.8,0.0,13.0,37.1,31309.43
2000-01-27,-3.2,-16.1,-10.3,0.0,13.1,38.2,31452.94
