Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,26.1,10.8,18.2,0.0,5.2,19.8,35934.28
2000-01-02,25.7,12.6,18.9,0.1,5.2,20.5,35832.15
2000-01-03,25.4,12.8,19.1,0.0,5.1,23.4,35726.5
2000-01-04,26.5,12.8,19.6,0.0,7.9,29.2,35890.6
2000-01-05,27.0,13.1,20.1,0.0,8.8,32.4,35970.05
2000-01-06,27.5,12.9,20.1,0.0,8.0,29.9,36244.0
2000-01-07,27.3,12.6,19.9,1.4,7.8,31.3,35560.45
2000-01-08,25.5,15.6,20.2,1.6,8.8,40.0,36037.14
2000-01-09,26.5,13.9,20.0,0.7,9.2,37.4,36331.84
2000-01-10,28.0,13.3,20.7,0.0,8.4,32.4,36433.03
2000-01-11,28.3,13.5,21.2,0.0,7.6,29.5,36642.78
2000-01-12,28.3,12.9,20.9,0.0,7.6,28.1,36860.1
2000-01-13,28.1,11.8,20.2,0.0,9.5,33.5,36944.54
2000-01-14,27.9,11.0,19.6,0.0,8.9,31.3,36981.58
2000-01-15,27.9,10.5,19.4,0.0,8.0,31.0,37019.8
2000-01-16,27.4,10.6,19.2,0.0,4.7,20.2,37059.14
2000-01-17,27.6,10.4,19.0,0.0,5.6,21.2,37099.57
2000-01-18,26.7,10.6,18.7,0.0,7.6,26.3,37036.63
2000-01-19,19.5,13.3,15.7,0.5,7.8,26.3,28973.28
2000-01-20,21.6,13.8,16.8,0.0,5.8,21.6,34126.11
2000-01-21,23.2,12.0,17.0,0.0,7.3,23.0,37079.98
2000-01-22,23.6,11.6,17.7,0.0,5.9,24.1,36611.32
2000-01-23,25.2,12.1,18.5,0.0,7.4,28.4,37369.32
2000-01-24,26.6,12.7,19.4,0.0,5.8,19.1,37419.28
2000-01-25,26.5,12.1,19.1,0.0,8.1,28.4,37272.26
2000-01-26,25.0,12.8,18.2,0.0,8.8,32.0,37522.85
2000-01-27,19.9,12.5,15.3,0.0,8.7,31.0,37439.18
2000-01-28,23.1,9.2,15.7,0.0,5.9,20.9,37460.95
2000-01-29,23.5,9.0,16.2,0.0,9.7,32.4,34834.54
2000-01-30,20.8,10.5,15.2,0.0,9.7,34.2,33527.87
2000-01-31,19.8,10.7,14.0,0.2,7.9,30.6,34990.94
2000-02-01,21.0,7.5,13.9,0.0,5.8,23.4,37857.11
2000-02-02,23.2,6.9,15.1,0.0,5.2,19.8,37915.45
2000-02-03,25.1,8.6,16.9,0.0,5.9,24.5,37974.34
2000-02-04,26.9,9.1,18.4,0.0,5.5,22.3,38033.73
2000-02-05,27.0,9.9,18.6,0.0,6.2,19.4,38093.54
2000-02-06,26.9,10.9,18.9,0.0,6.3,19.8,38153.69
2000-02-07,27.2,11.0,19.4,0.0,8.1,24.5,38214.14
2000-02-08,24.6,12.4,18.5,0.0,7.6,27.4,38274.82
2000-02-09,25.9,11.6,18.8,0.0,10.3,36.4,38336.23
2000-02-10,26.1,11.5,19.0,0.0,12.6,45.4,38398.62
2000-02-11,27.9,10.8,19.8,0.0,7.7,29.9,38461.88
2000-02-12,29.7,12.1,21.1,0.0,8.8,32.0,38525.95
2000-02-13,30.9,12.9,22.1,0.0,7.6,29.5,38590.77
2000-02-14,31.4,13.6,22.7,0.0,6.3,22.3,38656.25
2000-02-15,29.8,13.5,21.9,0.0,7.2,25.9,38722.32
2000-02-16,26.9,14.6,21.0,0.0,8.6,33.5,38788.91
2000-02-17,27.9,15.6,21.6,0.3,6.4,36.4,38855.95
2000-02-18,28.3,17.5,22.0,0.6,11.1,50.0,38888.01
2000-02-19,26.4,17.5,21.3,3.1,6.6,42.5,35591.04
2000-02-20,28.0,17.7,22.5,0.0,8.7,40.7,38944.79
2000-02-21,29.1,17.8,22.6,2.0,9.7,40.7,38972.46
2000-02-22,30.1,17.7,22.9,0.0,10.3,38.5,36114.11
2000-02-23,30.3,17.6,23.4,0.4,11.4,42.8,36542.73
2000-02-24,30.9,17.6,23.7,0.3,11.2,41.4,39052.66
2000-02-25,25.3,17.4,20.9,12.0,6.8,34.6,26394.78
2000-02-26,16.6,12.6,13.8,3.7,9.0,32.0,0.0
2000-02-27,17.7,12.1,14.0,0.0,7.0,19.8,10031.56
2000-02-28,19.2,13.0,15.0,0.3,6.9,23.0,19370.14
2000-02-29,13.5,11.1,12.3,11.8,7.4,36.4,0.0
2000-03-01,13.9,10.1,12.0,0.3,6.7,25.6,2222.7
2000-03-02,22.8,11.7,16.6,0.0,7.3,27.0,39223.18
2000-03-03,26.4,12.1,18.7,0.0,8.9,41.0,35455.25
2000-03-04,27.5,13.2,20.2,0.0,9.8,35.6,39267.02
2000-03-05,28.4,13.2,21.0,0.0,8.7,29.9,39298.65
2000-03-06,29.5,13.4,21.8,0.0,8.6,31.0,39378.8
2000-03-07,30.1,13.8,22.2,0.0,9.7,33.5,39395.3
