Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,18.5,8.8,12.9,0.0,6.2,20.9,31987.98
2000-01-02,17.1,7.1,11.6,0.0,5.5,22.3,23525.12
2000-01-03,14.8,6.0,9.1,5.5,14.8,49.3,29911.71
2000-01-04,7.0,2.5,5.1,8.9,9.7,49.0,16622.08
2000-01-05,2.5,-2.1,1.1,19.2,14.4,41.4,0.0
2000-01-06,1.2,-4.2,-1.6,0.3,6.3,27.0,31942.3
2000-01-07,3.0,-6.5,-1.0,1.6,6.9,19.8,31793.97
2000-01-08,4.7,1.5,2.7,2.4,6.4,19.1,31972.39
2000-01-09,3.6,-1.1,1.3,0.6,9.8,25.2,31029.57
2000-01-10,4.2,-2.3,0.9,4.5,11.5,43.2,31801.56
2000-01-11,3.2,-6.5,-0.7,0.0,9.0,30.6,32551.58
2000-01-12,4.7,-4.6,-0.4,0.0,5.4,19.1,32477.33
2000-01-13,4.8,-5.5,-1.0,0.0,4.7,19.4,33117.63
2000-01-14,5.9,-6.7,-0.7,0.0,4.5,17.3,31894.27
2000-01-15,7.0,-4.3,1.1,0.0,7.5,24.5,32544.29
2000-01-16,5.6,-4.6,0.2,0.0,4.3,17.6,33119.83
2000-01-17,5.5,-4.9,0.2,0.0,6.6,23.4,32932.23
2000-01-18,4.6,-4.1,0.9,13.4,18.4,77.0,16946.48
2000-01-19,3.9,1.5,2.6,16.7,22.4,80.6,28052.48
2000-01-20,4.1,0.8,2.3,52.6,14.0,67.3,0.0
2000-01-21,0.0,-4.0,-2.0,5.9,11.8,61.6,33442.58
2000-01-22,1.9,-3.7,-0.8,5.2,12.8,33.5,31823.16
2000-01-23,3.7,0.1,1.4,0.9,10.2,28.1,31991.53
2000-01-24,3.8,-5.4,-0.7,0.6,8.4,28.8,34017.6
2000-01-25,6.1,-0.0,3.8,6.0,12.2,50.0,32168.82
2000-01-26,3.1,-2.0,1.1,11.8,13.5,51.1,29229.27
2000-01-27,0.8,-3.5,-1.3,15.6,10.4,45.4,2536.62
2000-01-28,0.6,-4.3,-2.1,0.6,15.5,37.4,25632.93
2000-01-29,1.0,-10.7,-4.2,0.0,6.9,25.6,34519.96
2000-01-30,4.5,-8.5,-2.4,0.0,5.4,15.8,34625.57
2000-01-31,6.4,-7.5,-1.0,0.0,6.0,15.8,34732.54
2000-02-01,4.1,-2.6,0.8,0.0,8.9,25.9,34840.75
2000-02-02,5.0,-2.6,1.6,0.0,9.0,23.8,34920.07
2000-02-03,8.0,-2.4,2.3,0.0,5.0,14.4,34982.97
2000-02-04,9.0,-0.5,3.8,0.0,5.0,18.4,35045.48
2000-02-05,7.3,1.0,4.2,1.9,11.1,46.4,33975.75
2000-02-06,4.2,-1.3,1.9,9.7,16.3,55.4,31062.43
2000-02-07,5.7,-7.8,-1.0,0.0,5.1,29.9,35263.68
2000-02-08,7.1,-6.0,0.1,0.0,4.2,15.8,35326.74
2000-02-09,7.9,-4.4,1.5,0.0,4.6,17.3,35427.0
2000-02-10,9.5,-4.8,1.9,0.0,7.6,22.3,35492.52
2000-02-11,12.2,-0.5,5.2,0.0,5.9,20.9,35556.69
2000-02-12,11.6,-0.8,5.4,0.2,10.2,30.2,35672.11
2000-02-13,5.9,2.6,4.1,5.4,12.8,39.6,7324.56
2000-02-14,7.4,0.2,3.8,1.2,14.4,42.5,32833.54
2000-02-15,8.8,0.7,4.6,1.5,11.9,34.9,35595.55
2000-02-16,5.9,0.5,3.1,10.7,18.2,68.8,12376.03
2000-02-17,5.6,0.4,2.6,1.1,13.0,47.9,34237.92
2000-02-18,9.8,-4.6,2.3,0.0,7.0,23.4,36437.91
2000-02-19,9.6,-0.6,4.4,3.6,25.5,69.1,36596.25
