Country,Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
Myanmar,01-01-2000,25.5,13.7,19,0,9,21.2,35615.01
Myanmar,02-01-2000,25.7,14.1,19.3,0,9.2,22,35648.37
Myanmar,03-01-2000,25.9,14.5,19.3,0,7.9,19.8,35494.11
Myanmar,04-01-2000,26.5,13.1,19.5,0,8.8,20.2,35531.32
Myanmar,05-01-2000,26.7,15.4,20.4,0,7.9,19.8,35662.29
Myanmar,06-01-2000,26.6,15.4,20,0,8.8,16.9,35516.32
Myanmar,07-01-2000,25.7,16,20.4,0,11.2,26.6,35053.02
Myanmar,08-01-2000,26.5,13.7,19.7,0,8.2,18.7,35416.04
Myanmar,09-01-2000,26.8,14.2,20.1,0,7.6,15.5,35729.64
Myanmar,10-01-2000,27.4,13.7,20,0,8.8,15.1,35771.21
Myanmar,11-01-2000,27.8,13.1,20.4,0,8.2,21.6,35813.21
Myanmar,12-01-2000,27.7,14.2,20.4,0,7.3,18.7,35855.58
Myanmar,13-01-2000,28,14.2,20.7,0,8.2,17.3,35987.03
Myanmar,14-01-2000,28.2,13.5,20.7,0,7.9,14,36029.67
Myanmar,15-01-2000,28.7,13.6,21,0,9.4,15.1,36072.46
Myanmar,16-01-2000,28.7,14.4,21.2,0,8.9,19.4,36115.35
Myanmar,17-01-2000,28.9,15.2,21.6,0,9.4,22.3,36069.68
Myanmar,18-01-2000,27.9,16.3,21.4,0,8,19.4,36200.98
Myanmar,19-01-2000,28.3,16.4,21.9,0,8.2,19.1,36154.76
Myanmar,20-01-2000,29.2,17.4,22.5,0,19.9,43.6,36286.81
Myanmar,21-01-2000,27.8,15.3,21.1,0,14.9,35.3,36330.5
Myanmar,22-01-2000,28,14.2,20.5,0,7.2,21.2,36374.64
Myanmar,23-01-2000,28.1,14,20.5,0,9,24.5,36419.15
Myanmar,24-01-2000,27.8,15.3,21.2,0,8.4,19.4,36372.86
Myanmar,25-01-2000,28,15.2,21.2,0,9.6,22.7,36417.21
Myanmar,26-01-2000,28.2,16.4,21.7,0,7.6,21.2,36461.61
Myanmar,27-01-2000,28.3,16.3,21.5,0,7.3,15.8,36692.32
Myanmar,28-01-2000,29.8,14.5,21.8,0,11.7,27.4,36738.16
Myanmar,29-01-2000,29.7,14.1,21.1,0,17.6,37.4,36877.72
Myanmar,30-01-2000,26.1,14.5,20.1,0,9.4,29.2,36786.21
Myanmar,31-01-2000,27.5,13.5,20.3,0,10,21.2,36886.27
Myanmar,01-02-2000,27.7,14.4,20.6,0,7.3,19.8,36890.61
Myanmar,02-02-2000,29.9,14.7,21.8,0,15.5,31.7,36894.97
Myanmar,03-02-2000,29.3,15.6,21.9,0,12.8,28.4,36999.02
Myanmar,04-02-2000,29.4,14,21.7,0,8.4,21.2,36802.77
Myanmar,05-02-2000,29.4,16.2,22.6,0,7.9,18.7,37009.63
Myanmar,06-02-2000,29.3,18.2,23.2,0,8.4,20.2,37014.8
Myanmar,07-02-2000,28.3,16.9,22.5,0,8,19.8,37019.84
Myanmar,08-02-2000,27.6,17.3,22.4,0,7.9,21.2,36919.38
Myanmar,09-02-2000,27,16.7,21.8,0.1,8.2,21.2,37029.45
Myanmar,10-02-2000,28.4,16.5,22,0,8.9,22.3,36926.27
Myanmar,11-02-2000,29.2,16.3,22.5,0,9.3,18.7,37474.59
