Country,Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
Nigeria,01-01-2000,34,18.8,26.5,0,7.7,22.3,39123.65
Nigeria,02-01-2000,35,21.3,27.6,0,9,24.1,39132.74
Nigeria,03-01-2000,34.7,20.6,27.3,0,8.7,24.5,39142.69
Nigeria,04-01-2000,34,20.5,27,0,9.3,20.9,39153.43
Nigeria,05-01-2000,34.4,19.7,26.9,0,8.7,24.8,39164.98
Nigeria,06-01-2000,34.4,19.6,26.8,0,8.7,27.7,39177.28
Nigeria,07-01-2000,34.6,19,27,0,8.2,22,39190.31
Nigeria,08-01-2000,34.4,20,26.9,0,8.9,21.6,39204.07
Nigeria,09-01-2000,34.1,19.2,26.7,0,8.4,27,39218.5
Nigeria,10-01-2000,34.3,19.7,27,0,9.8,26.3,39233.61
Nigeria,11-01-2000,34.8,20.4,27.3,0,12.2,32.4,39238.45
Nigeria,12-01-2000,34.7,19.8,27.1,0,9.8,28.1,39222.09
Nigeria,13-01-2000,33.1,19.1,26.3,0,7,23.8,39206.71
Nigeria,14-01-2000,33.4,20.5,27,0,8.2,23,39192.39
Nigeria,15-01-2000,34.5,21.9,28,0,8.5,25.6,39179.18
Nigeria,16-01-2000,35.6,19.6,27.7,0,11.1,30.2,39167.14
Nigeria,17-01-2000,35.5,21.5,28.1,0,10.7,24.5,39156.33
Nigeria,18-01-2000,33.3,19.7,26.6,0,10,23,39146.81
Nigeria,19-01-2000,33.7,20.3,26.9,0,7.3,23.4,39138.62
Nigeria,20-01-2000,35.5,20.2,27.7,0,12.1,31.3,39131.52
Nigeria,21-01-2000,35.6,22,28.2,0,12.8,31.7,39125.41
Nigeria,22-01-2000,35.8,20.4,27.9,0,11.9,31.3,39120.28
Nigeria,23-01-2000,35.6,19.8,27.5,0,9.4,28.4,39116.12
Nigeria,24-01-2000,34,20.5,26.8,0,7.6,23.8,39112.92
Nigeria,25-01-2000,35.1,20.4,27.2,0,9.4,23.8,39110.69
Nigeria,26-01-2000,36.7,18.9,27.8,0,11.4,30.6,39109.39
Nigeria,27-01-2000,37.4,20.1,29,0,13,34.2,39109.05
Nigeria,28-01-2000,36.9,24,29.7,0,17,42.5,39109.64
Nigeria,29-01-2000,34.9,20.8,27.6,0,12.6,28.4,39111.16
Nigeria,30-01-2000,34,18.7,26.2,0,8.7,27,39113.61
Nigeria,31-01-2000,33.4,17.6,25.5,0,9,27.4,39116.97
Nigeria,01-02-2000,32.3,17.5,24.7,0,9.2,26.6,39121.25
Nigeria,02-02-2000,32.2,17.7,24.5,0,9.3,23.8,39126.43
Nigeria,03-02-2000,32.9,17.1,24.7,0,8.6,26.3,39132.52
Nigeria,04-02-2000,33.8,17.7,25.8,0,7.6,27.4,39139.51
Nigeria,05-02-2000,33.9,18.5,26.3,0,8.7,24.5,39147.4
Nigeria,06-02-2000,34.9,19.2,27,0,9.8,24.5,39156.18
Nigeria,07-02-2000,34.4,19.8,26.8,0,9.1,27,39165.84
Nigeria,08-02-2000,33.5,18.5,26,0,8.8,26.3,39176.41
Nigeria,09-02-2000,33,18,25.9,0,8.8,28.1,39188.11
Nigeria,10-02-2000,33.3,18.6,25.9,0,9,27.4,39200.99
Nigeria,11-02-2000,33.1,18.2,25.7,0,8.7,28.8,39214.98
Nigeria,12-02-2000,34.3,18.6,26.2,0,9.4,25.6,39230.05
Nigeria,13-02-2000,34.7,18.5,26.5,0,8.8,25.2,39246.12
Nigeria,14-02-2000,34.8,18,26.7,0,8.6,26.3,39263.14
Nigeria,15-02-2000,34.2,19.3,26.9,0,9.2,27.4,39281.07
Nigeria,16-02-2000,35.3,19.4,27.4,0,9.4,24.1,39299.86
Nigeria,17-02-2000,34.6,19.5,27.2,0,8.6,26.3,39319.43
Nigeria,18-02-2000,34.4,19.5,27,0,9.3,28.8,39339.75
Nigeria,19-02-2000,36.1,20.2,28.2,0,9.6,25.9,39360.76
Nigeria,20-02-2000,37.4,21.4,29.2,0,10.9,32,39382.41
Nigeria,21-02-2000,36,21.7,28.5,0,7.8,23.4,39404.65
Nigeria,22-02-2000,36.6,21,28.7,0,8.8,25.2,39427.43
Nigeria,23-02-2000,36.7,20.5,28.6,0,9.4,28.4,39450.7
Nigeria,24-02-2000,36.2,19.9,28,0,9.5,25.6,39474.39
Nigeria,25-02-2000,36.5,19.7,28,0,10,26.6,39498.48
Nigeria,26-02-2000,35.8,20.4,27.9,0,10.2,25.9,39522.91
Nigeria,27-02-2000,34.8,18.4,26.5,0,9.5,28.8,39547.62
Nigeria,28-02-2000,34.5,18.6,26.4,0,8.9,28.8,39572.6
Nigeria,29-02-2000,35.3,19.1,27.1,0,9.7,31.3,39598.36
Nigeria,01-03-2000,36.1,19.8,27.8,0,11.2,33.1,39600
Nigeria,02-03-2000,36.5,20.2,28.3,0,11.4,33.5,39600
Nigeria,03-03-2000,36.4,20.8,28.5,0,10,31.7,39644.71
Nigeria,04-03-2000,37.2,21.2,29.1,0,12,37.4,39644.25
Nigeria,05-03-2000,37.1,21.7,29.2,0,9.8,33.8,39643.87
Nigeria,06-03-2000,37,20.9,28.9,0,9.4,25.6,39643.56
Nigeria,07-03-2000,36.8,21.4,28.9,0,10,26.3,39643.32
Nigeria,08-03-2000,36.3,20.7,28.5,0,14,39.2,39643.13
Nigeria,09-03-2000,36.2,20.5,28.3,0,9.8,31,39643
Nigeria,10-03-2000,36.5,20.1,28.3,0,9.6,31.3,39642.93
Nigeria,11-03-2000,36.7,20.4,28.7,0,9.7,29.2,39600
Nigeria,12-03-2000,37.1,21.5,29.2,0,10.6,27.7,39642.91
Nigeria,13-03-2000,37.7,21.8,29.7,0,9.6,29.9,39600
Nigeria,14-03-2000,36.4,21.3,28.9,0,9.2,25.9,39600
Nigeria,15-03-2000,36.3,21.3,28.9,0,8.6,27.4,39600
Nigeria,16-03-2000,35.9,22.8,29.3,0,8.7,24.8,39600
Nigeria,17-03-2000,36.3,22.7,29.5,0,8.8,27,39600
Nigeria,18-03-2000,34.9,23.7,29.5,0,12.1,28.1,37849.17
Nigeria,19-03-2000,33.7,24.3,28,5.2,13.5,34.2,39600
Nigeria,20-03-2000,31.8,22.5,26.8,0.8,11.6,33.5,38646.73
Nigeria,21-03-2000,35.4,22.8,28.8,0,9.4,27.7,39600
Nigeria,22-03-2000,35.6,24.6,29.7,0,10.8,29.2,39600
Nigeria,23-03-2000,33.6,22.8,28,0.3,10.9,30.6,38044.37
Nigeria,24-03-2000,36.7,23.3,29.3,0,9.2,27.7,39600
Nigeria,25-03-2000,36.2,20.6,28.4,0,8.4,25.2,39600
Nigeria,26-03-2000,36.1,22.8,29.2,0,11.5,31.7,39600
Nigeria,27-03-2000,36.6,22.4,29.9,0,9.3,28.4,39646.72
Nigeria,28-03-2000,37.5,22.3,29.5,0,9.6,28.4,39647.24
Nigeria,29-03-2000,38.5,22.3,30.1,0,10.5,32,39647.77
Nigeria,30-03-2000,38.6,21.7,30.2,0,10,29.5,39768.03
Nigeria,31-03-2000,37.3,23.1,30.1,0,9.1,27.4,39766.1
Nigeria,01-04-2000,38.8,24.1,31.3,0,10.4,28.8,39714.55
Nigeria,02-04-2000,35.6,23.7,29.8,0.4,11.5,32,39600
Nigeria,03-04-2000,35.7,24.5,29.6,0.6,10.9,30.2,39600
Nigeria,04-04-2000,35,23.9,29.2,0.8,11.2,31.7,39600
Nigeria,05-04-2000,34.3,23.1,28.5,0.3,10.7,29.9,39617.66
Nigeria,06-04-2000,34.9,23.4,28.9,0.3,9.2,27.7,39697.88
Nigeria,07-04-2000,35.5,24,29.5,0,10,25.9,39832.88
Nigeria,08-04-2000,34.5,24,28.8,0.3,10.6,28.4,39778.36
Nigeria,09-04-2000,35.2,23.4,29,0.2,10.1,28.1,39775.7
Nigeria,10-04-2000,34.8,24.9,29.7,1.9,10.7,31.3,40044.95
Nigeria,11-04-2000,33.6,24.4,28.7,7.8,10.2,30.6,39769.89
Nigeria,12-04-2000,33.6,24.4,28.3,2,11.6,27.7,39600
Nigeria,13-04-2000,31.2,23.8,27.7,1,11.6,32,39108.26
Nigeria,14-04-2000,34.7,24.8,28.9,2.3,8.2,24.8,39760.13
Nigeria,15-04-2000,34.5,24.5,29.1,1.9,7.1,27.4,39950.29
Nigeria,16-04-2000,31.2,24.4,28.2,8.2,10.2,30.2,40242.89
Nigeria,17-04-2000,32.3,24.4,27.9,1.9,10.5,31,39947.62
Nigeria,18-04-2000,34,24.1,28.5,0.3,10.1,27.4,39600
Nigeria,19-04-2000,32.8,23.3,28,4.4,11.7,30.2,39600
Nigeria,20-04-2000,31.9,24.2,27.6,2.2,10.6,27.4,37744.48
Nigeria,21-04-2000,31.4,24.4,27.4,3.7,8.4,29.2,38511.78
Nigeria,22-04-2000,30.3,22.3,25.8,23.2,6.1,31,35397.35
Nigeria,23-04-2000,32.2,22.5,27.4,10,8.7,35.3,40147.76
Nigeria,24-04-2000,33.9,23.1,28.5,1.8,12.8,31,40204.38
Nigeria,25-04-2000,32.7,23.2,27.4,1.1,7.7,24.5,35970.09
Nigeria,26-04-2000,32.8,23.3,28.1,0.4,8,24.5,39773.55
Nigeria,27-04-2000,31.9,23.5,27.8,0.9,9,25.9,40147.3
Nigeria,28-04-2000,29.6,23.4,26.6,2.7,8.1,26.3,39698.06
Nigeria,29-04-2000,29.8,22.5,26,11.5,7.1,30.2,34945.43
Nigeria,30-04-2000,30.8,21.9,26.2,5.1,6.4,26.3,40036.06
