Country,Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
Pakistan,01-01-2000,16.3,1.4,9.3,0,10.2,19.8,33018.6
Pakistan,02-01-2000,15.7,1,9.1,0,9,15.5,32944.72
Pakistan,03-01-2000,15.6,1,9,0,9,16.6,32990.78
Pakistan,04-01-2000,15.3,0.6,8.7,0,8.7,13.7,32994.82
Pakistan,05-01-2000,15.4,-0.2,8.4,0,9,14.4,33051.64
Pakistan,06-01-2000,17.4,3.5,10.5,0,10.9,21.6,32851.34
Pakistan,07-01-2000,17.1,5.5,11.2,0,14,27.4,32636.48
Pakistan,08-01-2000,14.3,5.3,9.9,0,8.2,19.4,21878.06
Pakistan,09-01-2000,16.5,7.5,11.3,0,17.7,37.4,32776.77
Pakistan,10-01-2000,11,3.3,7.4,1.3,9.3,20.2,8926.44
Pakistan,11-01-2000,7.5,3.8,5.8,9.4,9.7,35.3,12930.27
Pakistan,12-01-2000,9.8,0.9,5.9,1.8,19.3,38.2,27330.89
Pakistan,13-01-2000,3.8,-3.8,-0.4,0,35.3,68.8,33739.68
Pakistan,14-01-2000,7.3,-2.8,1,0,26,54,33851.29
Pakistan,15-01-2000,6.9,-4.8,0,0,21.7,43.2,33968.21
Pakistan,16-01-2000,7.6,-6.3,1.1,0,8.5,21.2,33999.23
Pakistan,17-01-2000,10.7,-3.3,4.1,0,8,14.4,32849.27
Pakistan,18-01-2000,13.4,1.3,7.8,0,11.5,24.8,33693.08
Pakistan,19-01-2000,16.1,4.1,10,0,18.4,37.8,33512.6
Pakistan,20-01-2000,16.2,0.7,9.1,0,11,23.4,33155.54
Pakistan,21-01-2000,15,5,10,0,12.9,26.3,33823.84
Pakistan,22-01-2000,14,1.9,8.4,0,11.1,20.2,34417.69
Pakistan,23-01-2000,14.1,3.1,8.7,0,16.4,31.7,34479.85
Pakistan,24-01-2000,14.4,4.1,9.4,0.8,18.1,35.3,34542.57
Pakistan,25-01-2000,12.7,0.9,7.6,1.6,16.6,32.4,34689.54
Pakistan,26-01-2000,10.5,-2,5.3,0,9.2,20.2,34498.23
Pakistan,27-01-2000,12.1,-0.3,6.1,0,8.9,21.2,34994.11
Pakistan,28-01-2000,16,-0.3,8.3,0,11,21.6,35151.75
Pakistan,29-01-2000,19.7,3.4,11.9,0,11.9,24.8,35222.29
Pakistan,30-01-2000,21.2,6,13.6,0,18.2,35.6,35385.17
Pakistan,31-01-2000,17.2,5.2,10.9,0,24.7,49,35457.12
Pakistan,01-02-2000,17.3,1,8.8,0,28.1,54.7,35674.39
Pakistan,02-02-2000,12.5,2.2,6.8,0,16.4,32.4,24754.92
Pakistan,03-02-2000,12.1,-0.1,6.1,0,12.4,28.8,33799.72
Pakistan,04-02-2000,9.3,2.3,5.3,6,16.7,34.2,31306.68
Pakistan,05-02-2000,12.9,0,6.1,0,15.5,32.8,36059.08
