Country,Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
Philippines,01-01-2000,26.8,23.6,24.8,0.6,16.7,30.6,36192.74
Philippines,02-01-2000,27.4,23.8,25.2,0,16.5,30.2,36309.45
Philippines,03-01-2000,25.8,23.3,24.3,1.1,23.7,39.6,36393.46
Philippines,04-01-2000,25.7,23.4,24.3,0.9,22.4,39.6,37004.63
Philippines,05-01-2000,27.1,23.1,24.6,1.3,15,28.4,36696.6
Philippines,06-01-2000,26.6,23.4,24.5,0.8,14.8,29.2,36794.09
Philippines,07-01-2000,26.2,23.3,24.5,1.2,15.5,27.7,36492.84
Philippines,08-01-2000,26.8,23.3,24.7,0.5,13,23,36114.54
Philippines,09-01-2000,27.9,23.4,25.2,0,14.7,27.4,36783.75
Philippines,10-01-2000,27.2,23.4,24.9,0.5,15.4,31.3,36452.54
Philippines,11-01-2000,27.2,23.6,24.9,0.2,19.7,37.8,37441.21
Philippines,12-01-2000,27.1,22.9,24.7,0.4,15.2,31,37043.07
Philippines,13-01-2000,26.2,23.4,24.5,2.3,12.3,23.4,36581.02
Philippines,14-01-2000,27.4,23.4,24.8,0.5,12.3,24.5,36431.57
Philippines,15-01-2000,27.7,23.6,25.2,0,16,30.6,37137.2
Philippines,16-01-2000,27.1,23.3,24.8,0.3,14.3,27,36962.32
Philippines,17-01-2000,27.5,23.3,24.8,0,17.5,31.3,36749.34
Philippines,18-01-2000,25.9,22.8,24,1.5,18,35.6,36387.81
Philippines,19-01-2000,26.2,22.9,24.2,0,16.7,31.3,36960.63
Philippines,20-01-2000,25.7,22.4,23.7,2,15,28.4,36770.7
Philippines,21-01-2000,26.6,23.1,24.2,4.2,20.2,47.5,36398.9
Philippines,22-01-2000,25.5,23.3,24.1,2.3,26.6,54.7,36390.38
Philippines,23-01-2000,26.1,23.3,24.3,0.7,28,52.9,37150.97
Philippines,24-01-2000,26.4,23,24.1,1.4,25.5,49,37159.66
Philippines,25-01-2000,25.9,22.8,24.1,0.6,21.9,41.4,37262.64
Philippines,26-01-2000,25.5,22.8,23.8,0.5,27.9,52.9,37151.12
Philippines,27-01-2000,25.3,22.1,23.5,1.6,29.8,54.4,37856.34
Philippines,28-01-2000,24.2,21.6,22.6,1.9,34.1,63.4,37967.04
Philippines,29-01-2000,23.6,21,22.1,0,31.7,61.6,36752.85
Philippines,30-01-2000,25,21.5,22.8,0.6,33.7,58,37993.27
Philippines,31-01-2000,24.3,21.2,22.5,4.2,34.5,63.4,33415.98
Philippines,01-02-2000,21.8,21.1,21.5,34.7,27.2,47.5,0
Philippines,02-02-2000,24.4,21.6,23,28,29,52.2,15045.05
Philippines,03-02-2000,23.9,22.2,23,31.3,21.8,42.5,0
Philippines,04-02-2000,24.5,22.8,23.5,10.7,17.3,32.4,10076.17
Philippines,05-02-2000,26.1,22.7,23.9,10.1,10,31.7,29444.34
Philippines,06-02-2000,25.5,22.5,24,4.7,10.5,23,36566.87
Philippines,07-02-2000,25.7,22.9,24.1,5.4,8.7,20.2,36972.78
Philippines,08-02-2000,25.3,22.4,23.5,3.3,31.5,57.2,20181.84
