Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,-1.2,-4.0,-2.6,1.7,16.3,36.0,2104.36
2000-01-02,-0.9,-4.2,-2.6,0.0,7.2,16.9,19470.7
2000-01-03,-0.0,-5.1,-2.0,0.0,8.3,20.5,18731.88
2000-01-04,2.6,-1.9,-0.0,0.0,8.4,21.2,27243.21
2000-01-05,1.0,-3.9,-1.3,0.0,7.2,17.6,20679.97
2000-01-06,2.0,-3.4,-1.1,0.0,11.0,28.1,27811.35
2000-01-07,2.4,-2.3,-0.3,0.0,5.1,13.7,26037.66
2000-01-08,1.8,-2.8,-1.1,0.0,7.1,12.6,28039.41
2000-01-09,1.3,-5.7,-2.4,0.0,5.3,9.4,28024.38
2000-01-10,-0.6,-7.0,-4.3,0.0,7.3,19.1,26052.23
2000-01-11,-1.5,-4.2,-2.8,0.0,7.3,18.0,0.0
2000-01-12,-0.1,-2.9,-1.6,0.0,7.1,15.8,12279.7
2000-01-13,1.5,-6.6,-2.8,0.0,15.2,34.6,28427.27
2000-01-14,2.2,-6.8,-3.3,0.0,14.4,33.8,28801.61
2000-01-15,2.1,-3.9,-2.1,0.0,8.5,21.2,28591.07
2000-01-16,-0.9,-3.9,-2.6,0.0,13.0,32.4,0.0
2000-01-17,0.5,-4.3,-2.1,2.3,18.7,42.8,19831.93
2000-01-18,3.6,-1.5,1.3,11.3,29.6,86.0,14563.13
2000-01-19,0.2,-4.1,-1.7,3.7,24.2,61.9,20179.31
2000-01-20,-1.2,-8.9,-4.6,2.1,21.2,47.9,28573.39
2000-01-21,3.1,-10.7,-2.9,2.8,29.1,75.6,8891.88
2000-01-22,-1.4,-7.4,-4.5,0.0,30.4,63.4,30204.09
2000-01-23,-1.7,-7.5,-5.1,6.1,18.5,44.6,13971.89
2000-01-24,-5.8,-8.6,-7.0,4.4,21.5,45.4,559.89
2000-01-25,-8.1,-17.1,-11.9,0.0,17.1,36.4,30431.68
2000-01-26,-4.8,-15.6,-10.3,0.0,13.5,28.4,30500.05
2000-01-27,2.4,-12.1,-3.7,0.0,13.1,31.7,24538.57
2000-01-28,4.3,-12.3,-3.9,0.0,9.4,17.6,30714.48
2000-01-29,2.7,-9.6,-4.0,0.0,10.3,23.4,30844.51
2000-01-30,3.5,-6.1,-1.3,3.5,11.8,40.3,7137.27
2000-01-31,10.2,-1.8,2.3,0.3,9.8,25.2,25184.86
2000-02-01,11.8,-0.9,4.1,0.0,10.7,26.3,31238.03
2000-02-02,12.7,-2.8,4.0,0.0,7.6,16.9,31165.23
2000-02-03,6.0,-0.4,2.6,4.0,16.3,42.5,1839.34
2000-02-04,3.9,-1.5,1.2,0.0,18.8,43.6,29462.23
2000-02-05,7.6,-3.3,1.9,0.0,13.1,31.3,18629.46
2000-02-06,12.4,4.5,7.6,0.0,10.5,30.6,24813.19
2000-02-07,13.1,-1.4,4.8,0.0,9.9,20.5,32530.3
2000-02-08,11.9,-1.7,4.8,0.0,7.7,13.7,32760.62
2000-02-09,5.4,-0.9,2.3,13.2,13.6,32.8,0.0
2000-02-10,6.4,-0.3,2.8,0.0,15.5,35.3,27624.4
2000-02-11,8.5,-0.4,3.6,0.0,7.7,20.2,22938.12
2000-02-12,7.8,1.6,4.4,0.0,5.2,15.8,17259.37
2000-02-13,6.5,0.9,4.2,0.3,10.5,23.8,13302.58
2000-02-14,5.3,-2.9,0.7,1.4,18.0,41.4,13818.8
2000-02-15,4.1,-3.1,-0.1,0.6,14.8,35.3,34125.76
2000-02-16,10.1,-3.7,2.3,0.0,13.2,28.8,34308.17
2000-02-17,4.4,-0.3,1.9,14.3,16.6,37.4,0.0
2000-02-18,2.6,-1.5,0.2,1.5,26.3,56.2,14041.91
2000-02-19,4.9,-4.0,0.7,0.0,11.5,24.8,22626.56
2000-02-20,3.1,-0.0,1.4,3.8,9.2,20.9,0.0
2000-02-21,2.6,-1.5,1.0,4.0,19.9,45.0,23966.58
2000-02-22,1.7,-3.0,-1.2,0.1,16.1,39.2,28480.35
2000-02-23,0.3,-2.3,-1.4,0.0,6.2,17.6,8454.84
2000-02-24,2.0,-1.6,-0.3,0.0,10.3,26.3,23766.38
2000-02-25,8.6,-4.9,1.0,0.5,10.8,24.5,32441.74
2000-02-26,7.1,0.6,3.4,1.2,22.1,46.1,34178.18
2000-02-27,7.2,-1.5,2.2,0.0,16.6,36.0,31862.94
2000-02-28,7.9,-2.3,1.9,0.0,11.4,28.1,35846.04
2000-02-29,9.5,-3.3,1.9,0.0,10.7,26.3,36110.55
2000-03-01,12.5,-3.9,3.5,0.0,12.4,29.9,36396.67
2000-03-02,10.1,1.4,5.1,3.6,20.7,43.2,12978.23
2000-03-03,7.2,-1.0,3.1,0.8,19.9,48.6,36605.39
2000-03-04,13.7,-3.3,4.6,2.0,10.8,27.4,36925.97
2000-03-05,4.8,-0.5,2.4,4.1,22.9,55.1,28499.33
2000-03-06,4.3,-2.7,0.3,0.4,18.2,43.2,32040.82
2000-03-07,10.7,-4.5,2.1,0.0,8.7,22.7,37784.55
2000-03-08,13.8,-3.2,4.6,0.0,11.7,30.2,37894.18
2000-03-09,16.9,1.5,8.7,0.1,16.3,43.6,36000.0
2000-03-10,11.1,4.4,7.1,6.7,20.5,65.2,18662.62
2000-03-11,14.2,-1.1,6.2,0.0,16.6,40.7,36606.21
2000-03-12,11.3,3.4,7.4,3.8,20.9,48.2,34170.21
2000-03-13,9.0,1.2,4.6,0.0,7.9,15.8,38610.18
2000-03-14,13.8,-1.5,6.5,0.0,8.5,16.2,38726.05
2000-03-15,14.4,-1.0,4.4,4.6,24.6,56.9,24265.6
2000-03-16,8.1,-1.2,2.9,2.5,19.5,44.3,35174.95
2000-03-17,4.6,-1.7,1.1,3.6,21.3,47.2,27605.79
2000-03-18,1.8,-2.3,-0.6,7.1,15.6,38.5,15458.58
2000-03-19,2.6,-3.0,-0.6,2.8,14.5,40.3,27633.15
2000-03-20,3.0,-2.7,0.0,1.8,15.5,41.0,33675.23
2000-03-21,4.1,-0.7,1.0,2.7,17.9,40.7,30238.42
2000-03-22,8.9,-2.2,3.2,0.0,9.1,22.7,40217.53
2000-03-23,14.6,-2.2,6.5,0.0,7.9,21.2,40780.16
2000-03-24,17.2,-1.7,8.4,0.0,6.7,16.9,39600.0
2000-03-25,16.1,1.9,9.1,0.0,11.3,22.7,40286.65
2000-03-26,16.1,3.8,10.2,0.0,10.7,27.0,18583.62
2000-03-27,15.6,4.6,10.3,1.0,15.3,43.6,38447.83
2000-03-28,16.7,1.8,9.3,0.0,12.9,35.6,40712.14
2000-03-29,19.9,2.0,11.3,0.0,16.6,34.6,40853.27
2000-03-30,15.7,6.8,11.0,2.2,11.0,31.3,38525.76
2000-03-31,16.8,0.6,9.6,0.0,8.1,23.0,41728.46
2000-04-01,14.1,1.7,9.0,0.6,19.0,45.4,28946.59
2000-04-02,14.1,3.2,8.8,0.2,15.4,42.1,41947.84
2000-04-03,19.8,1.9,11.4,0.9,15.0,34.6,28545.88
2000-04-04,22.4,8.2,15.2,0.9,15.6,40.7,42181.09
2000-04-05,16.8,11.7,14.1,6.1,25.0,63.0,14434.16
2000-04-06,14.0,6.0,11.1,3.3,23.2,56.5,42018.79
2000-04-07,7.8,1.8,5.0,0.1,21.1,49.7,23131.47
2000-04-08,9.2,-0.9,4.2,5.5,17.1,47.5,41117.85
2000-04-09,10.5,-1.2,5.1,0.0,11.2,29.2,43616.41
2000-04-10,15.5,0.9,8.7,0.0,14.8,31.3,33252.63
2000-04-11,13.8,6.1,9.7,0.4,11.4,28.8,29770.62
2000-04-12,19.0,2.6,11.1,0.0,13.2,31.0,44444.88
2000-04-13,19.4,4.5,12.8,0.0,8.7,21.6,44699.91
2000-04-14,20.7,6.5,13.6,0.0,8.7,21.6,43356.39
2000-04-15,21.7,6.8,14.5,0.3,16.7,42.5,40257.04
2000-04-16,23.2,8.6,16.4,0.0,9.8,19.1,43185.32
2000-04-17,24.8,7.2,16.5,0.0,11.8,27.0,41890.32
2000-04-18,21.9,10.2,15.8,0.0,18.1,43.2,45541.69
2000-04-19,20.8,10.8,15.7,1.0,14.0,39.2,45707.31
2000-04-20,18.5,10.7,13.8,5.0,16.8,36.4,27108.2
2000-04-21,21.9,7.5,15.0,0.0,16.1,37.8,46034.88
2000-04-22,21.5,8.0,15.2,0.0,22.2,51.1,46127.32
2000-04-23,22.7,8.1,16.2,0.0,16.1,40.7,46319.63
2000-04-24,23.7,7.8,15.9,3.9,10.0,22.3,39210.1
2000-04-25,17.9,10.7,13.9,8.1,12.8,32.8,46122.05
2000-04-26,19.0,10.0,14.4,3.3,9.3,22.7,31987.54
2000-04-27,21.0,8.6,14.6,2.2,9.6,25.2,45273.52
2000-04-28,21.6,11.1,16.2,0.0,17.6,44.3,46755.69
2000-04-29,23.3,10.9,17.0,0.0,17.0,38.5,45442.5
2000-04-30,21.7,13.3,16.8,4.0,17.0,38.5,41470.61
2000-05-01,20.1,10.9,16.1,1.4,12.3,37.1,42007.18
2000-05-02,21.6,9.5,15.9,6.2,10.5,27.4,40637.9
2000-05-03,17.0,9.5,13.1,0.0,18.4,43.6,46800.0
2000-05-04,17.9,5.8,11.9,0.0,14.0,34.9,46800.0
2000-05-05,19.8,8.0,13.9,0.0,9.1,24.5,42121.15
2000-05-06,22.1,6.9,16.1,0.0,8.1,16.9,46903.09
2000-05-07,24.1,8.6,17.8,0.0,9.7,16.9,46900.82
2000-05-08,25.2,10.8,19.3,0.0,10.2,25.2,39166.58
2000-05-09,25.5,12.0,19.5,0.0,8.9,16.6,46801.36
2000-05-10,27.4,12.1,20.6,0.0,7.4,20.5,46888.84
2000-05-11,27.1,12.5,20.6,0.2,9.4,24.8,47083.21
2000-05-12,26.4,13.5,20.0,3.4,11.5,33.5,43200.0
2000-05-13,18.3,13.5,16.0,3.9,12.7,33.5,20576.14
2000-05-14,19.6,13.2,16.0,0.0,9.0,19.8,15856.71
2000-05-15,22.4,9.6,16.8,0.0,13.0,30.6,46274.46
2000-05-16,23.4,11.8,18.6,0.0,7.8,19.8,47514.43
2000-05-17,25.3,10.9,19.4,0.0,7.5,17.3,47500.34
2000-05-18,26.6,11.4,20.2,0.0,7.3,15.5,47377.8
2000-05-19,27.1,12.0,20.2,0.0,11.7,28.4,45815.01
2000-05-20,22.2,14.1,17.9,0.2,10.7,29.2,42909.65
2000-05-21,19.0,11.0,14.5,0.8,20.6,39.6,39741.6
2000-05-22,25.2,10.4,17.6,2.5,20.0,44.6,43954.78
2000-05-23,19.9,9.5,14.6,0.0,15.9,38.2,47508.86
2000-05-24,20.0,11.7,15.6,0.3,16.6,40.0,37146.84
2000-05-25,24.1,10.8,17.7,0.0,10.5,24.1,49099.68
2000-05-26,26.7,12.2,20.2,0.0,9.9,20.9,49389.29
2000-05-27,28.3,15.7,22.5,0.0,12.5,29.5,49411.77
