Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,29.6,21.1,24.3,7.0,10.3,25.6,34903.54
2000-01-02,28.4,21.9,24.0,4.4,10.1,23.8,29033.62
2000-01-03,30.3,21.8,25.2,0.8,7.9,25.6,36596.66
2000-01-04,30.6,22.0,25.8,0.2,6.8,18.0,36935.96
2000-01-05,31.9,21.9,26.3,0.0,8.6,20.5,37185.16
2000-01-06,31.6,22.7,26.4,0.0,12.6,24.5,36314.09
2000-01-07,29.8,22.0,25.7,0.9,8.4,21.6,37783.98
2000-01-08,30.9,22.1,25.8,0.6,8.8,22.7,37546.87
2000-01-09,30.9,22.3,26.0,0.4,7.6,19.4,35246.89
2000-01-10,30.5,22.7,25.7,2.4,7.1,20.5,36297.62
2000-01-11,29.1,22.5,25.1,3.5,8.3,21.6,36084.11
2000-01-12,29.0,22.0,24.4,6.8,6.6,22.7,27168.63
2000-01-13,29.4,21.9,24.2,20.0,9.3,24.5,35240.11
2000-01-14,26.8,21.4,23.4,13.3,6.0,18.4,20448.86
2000-01-15,28.8,22.2,24.5,3.6,6.6,18.4,35109.77
2000-01-16,29.2,21.8,24.9,0.1,8.3,31.0,32300.24
2000-01-17,31.0,22.5,26.1,0.1,10.3,17.6,33007.09
2000-01-18,30.7,23.3,26.2,0.6,10.9,25.9,35116.81
2000-01-19,30.3,23.1,26.0,0.1,10.2,18.7,33297.3
2000-01-20,30.9,23.2,25.8,1.4,9.9,25.9,34308.67
2000-01-21,28.4,23.3,24.9,7.2,6.0,22.0,25828.77
2000-01-22,29.4,22.9,24.6,6.7,6.5,23.8,26679.59
2000-01-23,29.2,22.2,24.9,1.8,6.9,28.8,31266.89
2000-01-24,31.2,21.8,25.6,0.4,11.1,20.5,35903.3
2000-01-25,31.3,23.0,26.1,0.0,11.7,24.1,36460.18
2000-01-26,30.1,23.1,25.4,2.8,7.2,25.2,35587.79
2000-01-27,30.9,22.5,25.6,1.5,6.9,22.7,34734.11
2000-01-28,30.9,22.2,25.7,1.1,8.5,25.9,36662.02
2000-01-29,31.0,23.7,26.4,0.8,10.7,28.1,37232.07
