Country,Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
South_Africa,01-01-2000,28.7,14,22,0,28.5,41,46920.6
South_Africa,02-01-2000,27.1,13.8,19.7,0,41,64.1,46889.45
South_Africa,03-01-2000,30.8,13.4,22.8,0,25.5,42.8,46837.41
South_Africa,04-01-2000,32.1,19.2,24.6,11.2,23.7,41.8,46800
South_Africa,05-01-2000,27.9,18.4,23.1,2.5,15.4,29.9,44936.24
South_Africa,06-01-2000,29.4,19,23.9,2.6,16,33.5,46800
South_Africa,07-01-2000,29.1,19,23.6,0.7,30.7,53.3,45033.89
South_Africa,08-01-2000,29.7,13.3,22.3,0,28.6,45,46939.51
South_Africa,09-01-2000,34.2,16,26.4,0,25,43.6,46916
South_Africa,10-01-2000,34.5,17.8,27.2,0,27.5,46.1,46815.68
South_Africa,11-01-2000,35.8,17.1,27.9,0,33.5,47.5,45867.41
South_Africa,12-01-2000,26.1,13.9,20.9,0.2,43.9,67.3,40639.24
South_Africa,13-01-2000,27,10.5,19,0,32.8,55.4,46720.06
South_Africa,14-01-2000,26.6,13.5,19.1,5.8,29.4,47.9,43280.68
South_Africa,15-01-2000,24.9,14.5,18.9,1.4,29.8,43.9,46113.58
South_Africa,16-01-2000,23.1,13.1,18.3,0,30.1,47.5,26594.34
South_Africa,17-01-2000,28.3,11.9,20.4,0,29,47.2,46518.03
South_Africa,18-01-2000,30.9,13.5,23.1,0,21.9,35.6,46418.24
South_Africa,19-01-2000,32.5,18.1,26.2,0,22.4,34.9,46368.55
South_Africa,20-01-2000,33.4,20.8,28,0,17.9,33.8,46271.62
South_Africa,21-01-2000,34.1,21.4,28.5,0.2,23.9,37.4,46185.12
South_Africa,22-01-2000,33.8,21.4,27.6,1,24.5,37.8,38862.44
South_Africa,23-01-2000,32.7,19.8,25,2.3,24.2,34.2,38645.3
South_Africa,24-01-2000,28.5,19.5,23,6.2,24.1,37.8,42361.13
South_Africa,25-01-2000,27.6,17.5,22.5,1.1,13.8,29.5,45982.02
South_Africa,26-01-2000,27,18.2,22.3,7.4,18.4,28.1,45930.54
South_Africa,27-01-2000,25.8,18.7,22.1,1.5,20.3,37.8,43169.59
South_Africa,28-01-2000,24.7,14.5,19.9,0,36.7,55.4,43921.9
South_Africa,29-01-2000,24.2,11.6,18,0,20.2,32.4,45779.57
South_Africa,30-01-2000,28.6,12.3,21.5,0,25.9,46.1,45728.87
South_Africa,31-01-2000,30.9,14.6,23.5,0,23,40.7,44623.87
South_Africa,01-02-2000,31.8,17,25.3,0,34.2,56.9,45620.79
South_Africa,02-02-2000,32.5,15.4,23.5,0,36.7,58.7,45569.62
South_Africa,03-02-2000,32.1,14.8,24,0,24.4,44.3,45518.72
South_Africa,04-02-2000,36.6,18.1,28.1,0,25,37.1,45468.2
South_Africa,05-02-2000,37.1,17.9,28.2,0,29.6,45.4,45418.08
South_Africa,06-02-2000,35.9,17.7,27.1,0,27.2,45.7,45368.43
South_Africa,07-02-2000,37.5,20.3,29.6,0,26.6,42.5,45279.33
South_Africa,08-02-2000,36.3,21.3,29.5,0,27.2,43.2,45189.05
South_Africa,09-02-2000,34.7,22.4,28,2.2,30.4,45.4,45097.31
South_Africa,10-02-2000,32.3,21,26.6,0.2,26.9,41.8,45004.02
South_Africa,11-02-2000,34.2,20.1,27.6,0,23.3,37.1,44909.29
South_Africa,12-02-2000,36.6,22,28.8,0,36.2,55.4,44813.23
South_Africa,13-02-2000,33.3,15.9,23.5,0,37.8,62.6,44715.93
South_Africa,14-02-2000,33.8,16.4,25.8,0.1,27,45.7,44617.49
South_Africa,15-02-2000,32.9,16.8,24.8,0,36.1,55.1,44518
South_Africa,16-02-2000,32.8,12.3,22.6,0,32.4,55.1,44417.58
South_Africa,17-02-2000,32.1,17,24.6,3.3,23.6,40.3,35838.82
South_Africa,18-02-2000,29.4,21.2,24.2,1,20.2,39.2,29972.06
South_Africa,19-02-2000,26.3,20,22,18.7,24.2,54.4,28367.54
South_Africa,20-02-2000,24.1,19,20.8,17.3,18.9,28.4,24265.64
South_Africa,21-02-2000,25.9,16.8,21.6,0.8,24.5,38.9,43680.13
South_Africa,22-02-2000,26.8,18.1,22.3,11.5,22,32.4,42360.67
South_Africa,23-02-2000,26,16.6,20.8,1,26.5,45.7,43229.62
South_Africa,24-02-2000,26.6,16,21.1,1,20.4,34.6,42865.8
South_Africa,25-02-2000,28.5,18,23.1,0,18.5,31.3,43370.85
South_Africa,26-02-2000,29.6,18.6,23.5,3,18.6,38.2,42748.66
South_Africa,27-02-2000,29.1,18.3,23.2,0,21.3,33.1,42936.5
South_Africa,28-02-2000,28.8,19.1,23.6,0.7,25.5,42.1,42771.78
South_Africa,29-02-2000,27.7,19.1,23.9,0,14.5,28.1,41870.86
South_Africa,01-03-2000,25.6,16.7,21.5,15.7,25.2,39.6,19445.71
South_Africa,02-03-2000,24.8,17.3,20,40.4,28,54.4,10874.7
South_Africa,03-03-2000,23.1,15.6,19,0,18.2,36.4,41757.26
South_Africa,04-03-2000,26.1,13.1,19.6,0,14,23.4,42219.97
South_Africa,05-03-2000,27.7,14.5,21,0,15.9,28.1,42140.11
South_Africa,06-03-2000,28.4,14.5,21.4,0,31,48.2,42058.73
South_Africa,07-03-2000,28.4,15.1,21.6,0,23.2,40.7,41836.48
