Country,Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
Spain,01-01-2000,10.7,-2.1,3,0,6.9,12.6,29138.53
Spain,02-01-2000,10.1,-2,3.2,0,5.4,12.2,29916.33
Spain,03-01-2000,9,-1.6,2.7,0,5.8,14,29968.82
Spain,04-01-2000,8.6,-1.4,2.6,0,7.3,13.3,30025.69
Spain,05-01-2000,6.6,-1.2,1.7,0,4.7,16.2,30086.79
Spain,06-01-2000,8.3,-1.2,2.3,0,6.5,14,30152
Spain,07-01-2000,10.5,-2.6,2.7,0,5.8,12.6,30221.15
Spain,08-01-2000,9.8,-2.1,2.4,0,7.6,13,30294.13
Spain,09-01-2000,6,-0.8,2.1,3.6,9.7,22,16940.83
Spain,10-01-2000,7.6,-0.2,2.8,0,16.6,36,30450.95
Spain,11-01-2000,8.5,0.6,3.6,0.1,12.2,26.3,30534.52
Spain,12-01-2000,7.8,-0.4,3,0,10.5,16.6,30621.33
Spain,13-01-2000,6.4,-0.3,2.6,0.9,12.6,27.7,24245.88
Spain,14-01-2000,4.6,0.5,2.2,19.7,8,28.1,15131.91
Spain,15-01-2000,5.3,-2.5,0.8,0.6,14.3,28.1,30899.89
Spain,16-01-2000,6.9,-0.1,2.6,0,15.8,36,23429.2
Spain,17-01-2000,9.2,-1.7,2.8,0,8.9,17.3,31099.32
Spain,18-01-2000,11,-2.5,2.6,0,6,14.4,31202.74
Spain,19-01-2000,11.9,-2.9,3,0,14.1,29.2,31308.85
Spain,20-01-2000,8.8,-2.8,2.1,0,12.1,28.8,31418.75
Spain,21-01-2000,10.3,-1.9,2.6,0,5.6,13,31532.33
Spain,22-01-2000,9.1,-2.6,1.7,0,6.2,12.6,31649.38
Spain,23-01-2000,8.4,-2.9,1.5,0,12.8,28.8,31769.68
Spain,24-01-2000,6.3,-3.1,0.5,0,7.6,22.3,31893.03
Spain,25-01-2000,5.3,-3.5,-0.2,0,7.2,20.9,32019.21
Spain,26-01-2000,6.1,-2.8,1.7,2.5,9.2,23.4,7716.34
Spain,27-01-2000,9.5,0.9,4.1,2.6,9.3,21.6,32249.91
Spain,28-01-2000,10.5,-1.1,3.8,0,8.7,15.5,32328.94
Spain,29-01-2000,10.9,-2.1,3.7,0,6.9,12.6,32406.63
Spain,30-01-2000,13.9,-1.3,5.6,0,5.8,12.6,32428.5
Spain,31-01-2000,14.5,2.6,8.5,0,6.5,14.8,32400
Spain,01-02-2000,14.3,6.2,9.7,0.3,13.9,50,24052.5
Spain,02-02-2000,15.1,5.7,9.6,0,12.1,25.9,32400
Spain,03-02-2000,16.1,1,7.6,0,8.9,17.3,32527.19
Spain,04-02-2000,15.7,0.3,6.6,0,7.3,16.2,32636.66
Spain,05-02-2000,14,1.2,7.5,0,8.4,15.5,32400
Spain,06-02-2000,14.1,0.5,6.8,0,9.5,23.8,29142.52
Spain,07-02-2000,14.1,1.8,7.2,0,8.9,20.2,32400
Spain,08-02-2000,16.9,2.1,8.9,0,10,22,32749.18
Spain,09-02-2000,14.3,3.8,8.4,0,7.4,18.4,33061.58
Spain,10-02-2000,14.8,1,7.6,0,8.6,22.3,30997.3
Spain,11-02-2000,14,4.9,9.7,0,7.4,17.3,31583.35
Spain,12-02-2000,13.5,2.9,7.6,0,9.8,26.6,34122.18
Spain,13-02-2000,15.7,0.5,6.7,0,8.8,18.7,34467.52
Spain,14-02-2000,16.7,1.9,9,0,6.5,15.5,34609.64
Spain,15-02-2000,17,2.7,9.1,0,9.3,23.4,34926.6
Spain,16-02-2000,13.1,3.9,8,0,18.8,40.7,33904.01
Spain,17-02-2000,13.4,2.7,7.9,0,17.1,40.3,34490.7
Spain,18-02-2000,17.2,2.5,9.2,0,8.7,20.5,35494.69
Spain,19-02-2000,18.1,2.1,9.5,0,8.3,16.9,35696.45
Spain,20-02-2000,16.6,1.3,8.7,0,6.8,16.6,35858.48
Spain,21-02-2000,16.9,1,8.7,0,8.7,22.3,36020.81
Spain,22-02-2000,15.9,2,8.8,0.4,12.7,29.5,31468.85
Spain,23-02-2000,14.8,4.7,9.2,0,14.1,32.4,33211.66
Spain,24-02-2000,16.5,2.4,9.1,0,6.5,19.4,36508.1
Spain,25-02-2000,18,3.2,10.2,0,7.6,22.3,36670.18
Spain,26-02-2000,18.3,3.3,10.4,0,6.7,18,36831.88
Spain,27-02-2000,18.3,3.7,10.5,0,6.5,18,36993.05
Spain,28-02-2000,17.7,4.9,11.5,0,7.1,20.5,33527.43
Spain,29-02-2000,18,2.1,9.8,0,13.6,32,37315.26
Spain,01-03-2000,15.3,3,9,0,16.8,39.6,37477.76
Spain,02-03-2000,15.6,1.4,8.5,0,9.9,21.2,37641.13
Spain,03-03-2000,17.7,1.5,10.1,0,9.4,25.2,37805.25
Spain,04-03-2000,18.5,1.8,10.6,0,6.8,15.5,37969.99
Spain,05-03-2000,18.5,3.8,11.4,0,10.3,23.8,38135.23
Spain,06-03-2000,19.2,4,11.8,0,8.1,20.5,38300.84
Spain,07-03-2000,17.5,5.9,11.6,0.7,8.2,19.1,30361.04
Spain,08-03-2000,20.7,4.9,12.6,0,9,22.3,38632.71
Spain,09-03-2000,21.9,4.6,13,0,8.7,16.2,38798.73
Spain,10-03-2000,22.5,4.9,13.7,0,8,20.5,38964.66
Spain,11-03-2000,22.7,5.4,13.8,0,8.9,19.8,36598.53
Spain,12-03-2000,19,10.2,14.1,0,9.1,25.9,39185.86
Spain,13-03-2000,19.9,5.1,12.5,0.3,9,31.3,39251.71
Spain,14-03-2000,19.9,3.9,12.5,0,13.7,31.7,39352.88
Spain,15-03-2000,19.8,6.2,13.1,0,18.9,43.2,39421.55
Spain,16-03-2000,19.3,3.6,11.7,0,12.4,35.6,39583.16
Spain,17-03-2000,19.9,4.7,12.5,0,13.8,29.2,39716.18
Spain,18-03-2000,21.2,2.8,12.1,0,17.5,39.2,39859.58
Spain,19-03-2000,17,3.9,10.9,0,16.8,36.7,39973.1
Spain,20-03-2000,15.8,5.8,10.2,0.1,18,38.5,39689.66
Spain,21-03-2000,15.8,6.3,10.3,3.9,16.4,37.1,35817.03
Spain,22-03-2000,10.7,6.4,9,13.5,11.7,25.9,1384.06
Spain,23-03-2000,11.9,5.3,8.7,3.8,15.8,37.1,29315.89
Spain,24-03-2000,13.2,4.7,8.4,0,12.2,29.5,39948.98
Spain,25-03-2000,13.6,4.1,8.7,0.8,11.8,32.8,40677.92
Spain,26-03-2000,14.7,0.1,8.1,0,12.8,31,41080.8
Spain,27-03-2000,16.2,2.4,9.5,0,16.8,35.3,40397.49
Spain,28-03-2000,10.7,2.2,7.1,0.1,14.7,34.6,41074.45
Spain,29-03-2000,11.4,-0.1,5.9,0.4,11.8,29.2,41378.2
Spain,30-03-2000,11.1,3.8,7.3,1,12.4,35.3,37804.62
Spain,31-03-2000,15,5.6,9.5,1.2,15.7,39.2,36612.14
Spain,01-04-2000,16.3,3.9,9.6,0,17.2,38.5,41672.88
Spain,02-04-2000,11.9,7.1,9.2,16.3,24.8,65.9,3465.24
Spain,03-04-2000,10.5,3.7,6.8,2.5,27,65.9,37807.33
Spain,04-04-2000,12,5.1,7.7,1.1,18.4,42.8,35013.71
Spain,05-04-2000,11.4,1.2,6.9,0,13.7,29.2,34562.25
Spain,06-04-2000,14.6,-0.3,7.7,0,8.7,23,42954.6
Spain,07-04-2000,17.7,4.6,10.7,0,13.7,33.1,39950.86
Spain,08-04-2000,11.1,6.5,8.9,4.9,14.7,30.6,0
Spain,09-04-2000,13.1,6.7,9.6,4.2,10.2,28.8,33812.95
Spain,10-04-2000,12.2,5.6,8.4,4.3,17.1,38.2,37294.95
Spain,11-04-2000,14.9,5,9.5,0.1,18.2,43.2,43572.12
Spain,12-04-2000,11.7,4.8,8.5,0,26.2,55.8,24685.33
Spain,13-04-2000,12.9,6.1,9.2,0.1,22.3,51.5,22896.25
Spain,14-04-2000,13.3,7.9,10.3,3.8,25.6,64.1,34029.51
Spain,15-04-2000,10.4,2.4,6.9,10.1,13.6,40.3,14602.84
Spain,16-04-2000,12.9,7.1,9.8,11.1,24,60.5,42089.94
Spain,17-04-2000,13.9,5,9,0,20.5,43.6,38559.41
Spain,18-04-2000,11.6,5.3,8.7,4.3,30.9,65.2,5741.24
Spain,19-04-2000,17.9,10.3,13,0.3,18,42.1,27438.29
Spain,20-04-2000,18.5,6.1,12.5,0,23,49,45185.38
Spain,21-04-2000,19.3,8.4,13.5,0,18.7,44.6,44223.08
Spain,22-04-2000,13,7.6,11,6.5,20.2,48.2,13556.4
Spain,23-04-2000,14.5,2.7,8.8,0.9,19.4,43.9,45361.55
Spain,24-04-2000,17.1,4.3,10.7,0,16.4,38.2,45419.9
Spain,25-04-2000,18,7.6,12.7,0,20.6,42.8,43842.27
Spain,26-04-2000,15.4,7.8,11.5,0.8,15.9,35.3,44210.78
Spain,27-04-2000,13.2,5.6,9.1,3.1,11.2,33.8,38932.01
Spain,28-04-2000,14.2,3.1,8.7,0.7,16,36,45322.66
Spain,29-04-2000,13.1,6.1,9.4,3.1,14.1,34.6,11178.65
Spain,30-04-2000,15.3,8,11.2,0.2,16.2,35.3,17988.52
Spain,01-05-2000,15.1,5.5,10.7,3.8,10.5,45.7,22777.84
Spain,02-05-2000,18.7,6.5,12.8,1.8,10.5,23,46325.95
Spain,03-05-2000,21.1,10.2,14.9,1.3,12.9,31.3,29694.72
Spain,04-05-2000,18.1,10.4,13.6,24.7,10.1,28.1,26344.72
Spain,05-05-2000,17.3,8.8,13.3,2.8,12.1,38.9,46830.54
Spain,06-05-2000,17.7,8.7,13.1,0.8,13,28.8,40253.07
Spain,07-05-2000,17,7.6,12.8,2,10.9,34.6,43144.19
Spain,08-05-2000,17.3,6.8,12,2.8,8.8,28.8,41025.29
Spain,09-05-2000,18.4,6.6,12.8,0.4,10.1,24.1,45821.81
Spain,10-05-2000,17.7,9.4,13.7,0,15,34.9,47294.45
Spain,11-05-2000,18,8.3,13,0.2,13.5,33.5,42166.18
Spain,12-05-2000,20.5,6.9,14.1,0,8.4,28.8,46805.5
Spain,13-05-2000,23.8,9.5,16.9,0,7.4,19.1,48325.07
Spain,14-05-2000,26.3,10.1,18.4,0,7.4,18,48433.21
Spain,15-05-2000,27.4,12,20,0,9,22.7,48538.87
Spain,16-05-2000,26.7,12.2,19.9,0,9.7,19.8,45278.38
Spain,17-05-2000,24.5,14.5,19.2,1.4,13.6,32.8,47346.06
