Country,Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
Tanzania,01-01-2000,31.1,20.3,25.3,0,13.3,28.4,41780.82
Tanzania,02-01-2000,30.5,20.2,25.3,0,14.8,33.1,41806.33
Tanzania,03-01-2000,30.1,20.5,24.8,1.4,14.6,35.6,41831.66
Tanzania,04-01-2000,29.3,18.6,23.9,4.4,18.1,36,41658.5
Tanzania,05-01-2000,29.8,19.2,24.4,0,15.1,35.6,41881.49
Tanzania,06-01-2000,30.2,18.7,24.7,0,15.4,32.4,41905.86
Tanzania,07-01-2000,29.7,20.2,24.9,0,15,34.6,41929.78
Tanzania,08-01-2000,31.4,19.6,25.2,4.1,12.4,31,40761.42
Tanzania,09-01-2000,22.6,18.9,20.5,63.9,9.1,22.7,1758.81
Tanzania,10-01-2000,24.6,18.1,21,8.6,9.6,33.1,38590.32
Tanzania,11-01-2000,25.7,17.6,21.2,9.7,7.1,27.4,39600
Tanzania,12-01-2000,26.5,17.7,22,0,9.2,26.3,40490.15
Tanzania,13-01-2000,26.8,18.5,22.5,0,10.2,27.4,39643.45
Tanzania,14-01-2000,26.3,18.7,22.3,0,12,28.8,40616.73
Tanzania,15-01-2000,26.8,17.4,22,1.9,8.5,24.5,42096.67
Tanzania,16-01-2000,27.1,17.2,22,0,10.4,26.6,42113.46
Tanzania,17-01-2000,28,17.2,22.6,0,11.8,28.1,42129.12
Tanzania,18-01-2000,28.1,17,22.7,0,12.6,29.9,42143.59
Tanzania,19-01-2000,27.7,16.4,22.5,0,14.5,32.4,42156.89
Tanzania,20-01-2000,28.9,17.2,23.3,0,12.9,26.3,42169.37
Tanzania,21-01-2000,28.6,16.9,22.9,0,12.7,35.3,42181.03
Tanzania,22-01-2000,30.3,18.2,24.2,0,18.8,37.8,42173.61
Tanzania,23-01-2000,29.8,18,24.2,0,20.7,41.4,42162.52
Tanzania,24-01-2000,29.3,18.8,24.3,0,17.3,39.2,42151.08
Tanzania,25-01-2000,29.6,19.7,24.8,0,15.5,37.4,42139.32
Tanzania,26-01-2000,29.8,19.8,24.9,0,12.3,27.7,42127.25
Tanzania,27-01-2000,30.3,18.2,23.8,1.8,13.8,32.4,42114.87
Tanzania,28-01-2000,29.5,18.5,24,0.3,9.4,23.4,42102.2
Tanzania,29-01-2000,29.9,19.4,24.5,0.5,13.9,25.2,42089.26
Tanzania,30-01-2000,26.1,18.6,22.5,11.9,16.2,30.6,37949.24
Tanzania,31-01-2000,27.9,18.7,23.1,3,10.4,26.6,40382.95
Tanzania,01-02-2000,29.2,19.2,23.7,0,13,29.9,42048.94
Tanzania,02-02-2000,28.1,17.4,22.6,7.4,9.2,24.1,42035.04
Tanzania,03-02-2000,27.2,17.5,21.9,9.5,8.2,25.6,40735.5
Tanzania,04-02-2000,26.9,17.9,22.1,10,10.1,24.8,41123.79
Tanzania,05-02-2000,25.6,17.4,21.5,5,10.4,29.9,40299.83
Tanzania,06-02-2000,25.1,17.8,21.2,8.3,9.7,24.5,39458.96
Tanzania,07-02-2000,25.3,17.4,21.2,5.2,7.4,24.5,41962.75
Tanzania,08-02-2000,26.6,16.8,21.7,0.1,8.9,22.7,41947.77
Tanzania,09-02-2000,26.2,18.1,21.8,2.5,8.1,24.5,41932.48
Tanzania,10-02-2000,26.2,17.8,21.8,1.3,8,26.6,35310.44
Tanzania,11-02-2000,27,17.3,22,0.5,9.4,26.6,41901.03
Tanzania,12-02-2000,27.5,17.7,22.5,0,13.6,29.2,41884.91
Tanzania,13-02-2000,28.2,17,22.5,0,10.2,26.6,41868.54
Tanzania,14-02-2000,29,17.8,23.3,0,9,24.5,41851.92
Tanzania,15-02-2000,29.3,18.2,23.8,0,11.2,31.7,41835.09
Tanzania,16-02-2000,29.4,18.1,23.6,0,10.2,27.4,41818.04
Tanzania,17-02-2000,29.4,17.9,23.7,0,10.9,28.8,40714.74
Tanzania,18-02-2000,28.2,18.5,23.6,0.3,12.1,31.3,41626.06
Tanzania,19-02-2000,27.3,17.4,21.8,8.8,11.3,26.6,39961.73
Tanzania,20-02-2000,27.3,18,22.3,11.4,9.1,24.1,38787.91
Tanzania,21-02-2000,28.9,17.5,23.2,0.8,8.7,27,41730.2
Tanzania,22-02-2000,29.4,17.7,23.4,0.5,8.1,22.7,41712.22
Tanzania,23-02-2000,27.8,18.6,23.1,7,11.8,28.1,40901.2
Tanzania,24-02-2000,28.5,18.6,23.2,9.9,11.2,23.4,41675.93
Tanzania,25-02-2000,28.9,18.7,23.5,0,15.9,30.2,41657.66
Tanzania,26-02-2000,29.2,17.3,23.3,0,10.5,28.8,41639.34
Tanzania,27-02-2000,29.5,17.8,24.1,0,9.2,25.6,41620.96
Tanzania,28-02-2000,29.8,18.2,24.4,0.6,8.9,26.6,41602.4
Tanzania,29-02-2000,29.1,18.8,23.6,2.6,19.8,39.2,41583.48
Tanzania,01-03-2000,26.5,18.6,22.2,4.8,9.5,28.8,36347.38
Tanzania,02-03-2000,26.9,18.5,22.4,5.7,7.4,32,31021.05
Tanzania,03-03-2000,27.4,18.6,22.3,29.5,7.1,26.6,30437.34
Tanzania,04-03-2000,24,18.7,20.6,10.8,11,23.4,15270.71
Tanzania,05-03-2000,26,17.7,21.8,0.3,9.2,25.2,38864.61
Tanzania,06-03-2000,26.6,18.7,22.2,1.3,8.7,22.3,37904.31
Tanzania,07-03-2000,27,18.5,22.7,1.2,13.3,24.8,39243.46
Tanzania,08-03-2000,25.2,18.5,21.6,10.3,8.9,23,37951.94
Tanzania,09-03-2000,25.2,18.2,20.8,12.2,10.2,27.7,26900.02
Tanzania,10-03-2000,25.3,18.2,21.3,7,4.1,25.6,31803.95
Tanzania,11-03-2000,26.4,17.9,21.8,4,8.4,23,37668.76
Tanzania,12-03-2000,25.6,18.3,21.2,11.9,7.5,20.9,31552.12
Tanzania,13-03-2000,26.6,17.8,22,0.6,10.8,27,41058.54
Tanzania,14-03-2000,26.4,18,22.1,0,14.1,28.8,41302.35
Tanzania,15-03-2000,26.4,18.4,22.2,2,14.2,32,41281.64
Tanzania,16-03-2000,25.2,18.4,21.2,8.9,8.2,23,37963.69
Tanzania,17-03-2000,25.6,18.3,21.7,1.3,12.2,26.3,40265.9
Tanzania,18-03-2000,25.7,18.3,21.8,0.9,13.4,31.3,41060.86
Tanzania,19-03-2000,25.9,18,21.7,1,18,36.4,41198.76
Tanzania,20-03-2000,26.2,17.1,21.7,0.8,12.9,29.5,41177.64
Tanzania,21-03-2000,26.9,17,21.9,2.1,14.8,35.6,40398.2
Tanzania,22-03-2000,26.9,18.1,22,0.2,17,36,40630.69
Tanzania,23-03-2000,26.9,18.2,22.2,1.1,18.4,39.6,40841.48
Tanzania,24-03-2000,26.7,17.3,21.8,2.1,15.3,32,40090.44
Tanzania,25-03-2000,26.9,17.6,21.6,1.1,16.2,37.4,41070.07
Tanzania,26-03-2000,26.5,17.7,21.8,0,15.8,29.5,41048.27
Tanzania,27-03-2000,27,18.2,21.8,2.1,14.5,31.7,40426.57
Tanzania,28-03-2000,26.9,17.8,22.1,0.8,15.3,35.3,40844.53
Tanzania,29-03-2000,27.3,17.4,22.6,0.2,16.2,36.4,40982.5
