Country,Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
Thailand,01-01-2000,32.3,18.4,25.2,0,9.8,25.2,37591.34
Thailand,02-01-2000,31.5,19.2,25.2,0,13.5,31.7,37606.21
Thailand,03-01-2000,32.1,21.4,26.3,0,12.5,30.6,28430.3
Thailand,04-01-2000,32.5,19.9,26.4,0,7.6,21.2,36180.17
Thailand,05-01-2000,32.8,19.9,26.7,0,7.5,15.8,37659.25
Thailand,06-01-2000,33.2,20.2,27,0,8.9,16.2,37679.61
Thailand,07-01-2000,32,21.2,26.7,0.2,6.9,20.2,37532.63
Thailand,08-01-2000,32.5,21.9,26.9,0.8,9.3,23.4,37135.2
Thailand,09-01-2000,32.4,22.8,27.2,0,5.8,19.1,37748.17
Thailand,10-01-2000,33,22.6,27.5,0,6.6,18.4,37773.37
Thailand,11-01-2000,32.6,22.8,27.8,0.3,5.9,19.8,37799.67
Thailand,12-01-2000,33.4,23.1,28,0.3,7.2,18,37827.03
Thailand,13-01-2000,33.6,22.5,27.3,0,10.3,23,37855.4
Thailand,14-01-2000,33.3,18.3,25.9,0,10.2,22.3,37884.76
Thailand,15-01-2000,33.4,17.4,25.2,0,9.7,20.5,37915.04
Thailand,16-01-2000,33.8,16.1,25,0,10,16.6,37946.23
Thailand,17-01-2000,33.6,17.4,25.6,0,7.9,17.6,37978.25
Thailand,18-01-2000,31.2,20,25.6,0,14.6,37.1,38011.1
Thailand,19-01-2000,27.2,21.3,24.1,0,20.9,45.7,38044.81
Thailand,20-01-2000,25.5,18.4,22.4,1.9,18.4,36,36413.32
Thailand,21-01-2000,29.4,20,24.6,0,18.4,39.2,31822.54
Thailand,22-01-2000,30.5,20.4,25.2,0,14.2,34.2,38153.55
Thailand,23-01-2000,31.5,18,24.9,0,10.5,26.3,38192.12
Thailand,24-01-2000,32.8,17,25.1,0,7.9,23,38231.75
