Country,Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
Turkey,01-01-2000,13.8,-3.1,3.8,0,10.2,22.7,29242
Turkey,02-01-2000,10.7,-2,3.6,0,11.5,21.6,14178.59
Turkey,03-01-2000,3.2,-2.9,-0.1,7.3,12.7,26.6,0
Turkey,04-01-2000,-1.6,-5.3,-3.8,6.1,16.3,28.1,15457.57
Turkey,05-01-2000,-0.9,-10,-5.3,2.2,13.5,27,21397.81
Turkey,06-01-2000,-0.6,-6.9,-3.7,1.9,9.1,25.2,515.04
Turkey,07-01-2000,3.6,-8.5,-2.3,0.9,18.3,35.6,28528.65
Turkey,08-01-2000,2.3,-4.7,-0.1,4.2,16.7,37.8,29982.8
Turkey,09-01-2000,-0.3,-6.6,-3.8,2.2,7.5,20.9,26345.73
Turkey,10-01-2000,-1.7,-5.7,-3.8,1.8,11.2,18.7,6012.6
Turkey,11-01-2000,-0.9,-5.9,-3.4,1.1,10,21.6,18948.58
Turkey,12-01-2000,-2.2,-8.8,-5.3,0.1,12.3,25.9,25288.1
Turkey,13-01-2000,-3.1,-10.6,-7.2,0,11.9,24.1,17395.18
Turkey,14-01-2000,-3.1,-9.3,-6.4,0,14.7,30.2,21215.78
Turkey,15-01-2000,-1.2,-9,-5.6,0,11.5,25.9,29699.18
Turkey,16-01-2000,-1.6,-8,-5.6,0,8.4,17.6,27234.54
Turkey,17-01-2000,0.9,-8.7,-5.2,0,12.7,27.4,30871.02
Turkey,18-01-2000,0,-4.8,-2.7,7.5,19.5,66.2,2003.64
Turkey,19-01-2000,-2.4,-7.3,-4.2,6.8,22.4,39.6,23747.85
Turkey,20-01-2000,-2.9,-13.4,-6.4,10.5,11.3,20.9,23819.34
Turkey,21-01-2000,-12.1,-22.2,-16.1,0,9.8,16.2,31918.4
Turkey,22-01-2000,-2.8,-19,-11,3.6,19.1,34.2,19994.02
Turkey,23-01-2000,-3.3,-16.5,-8,0.2,9.4,15.8,30790.51
Turkey,24-01-2000,0.2,-19.1,-9.3,0,13.7,28.8,31139.34
Turkey,25-01-2000,3.4,-5.2,-1.6,6.6,15.6,54.7,25953.76
Turkey,26-01-2000,-4.9,-13.6,-8,0,10,16.2,32061.29
Turkey,27-01-2000,-9.3,-16.8,-14,0,19.4,33.1,30417.35
Turkey,28-01-2000,-9.8,-25.8,-16.5,0,8.3,18.4,32397.12
