Country,Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
UK,01-01-2000,5.4,0,3.1,0,25.7,55.8,19254.72
UK,02-01-2000,6.5,4.4,5.3,1.6,34.2,74.9,19260.37
UK,03-01-2000,7.6,1.7,4.4,4.8,34.3,87.5,9924.41
UK,04-01-2000,4.1,0.5,1.8,7.2,34.3,69.5,3859.69
UK,05-01-2000,7.2,0.6,4.6,10,38.7,96.5,0
UK,06-01-2000,6.7,0.2,3.5,3.4,37.8,92.9,20044.59
UK,07-01-2000,7.3,2.9,5.9,9,38.7,88.6,0
UK,08-01-2000,3.4,0.9,2.3,2.5,31,67.3,15915.25
UK,09-01-2000,2.6,-0.7,0.5,2.1,23.5,52.2,20563.83
UK,10-01-2000,6,0.1,4,4.6,31.2,67.3,0
UK,11-01-2000,5.4,2.3,3.8,6,20.3,47.5,4151.52
UK,12-01-2000,3.8,0.3,2.9,4.4,16.3,35.3,0
UK,13-01-2000,1.9,-2.4,-0.6,0,19.5,40.7,20799.63
UK,14-01-2000,1.3,-0.8,0.3,0,23.7,50.4,21693.5
UK,15-01-2000,2.9,-2.8,-0.8,0,13.5,30.2,21263.96
UK,16-01-2000,6,-2.5,1.4,0,16.3,36.4,11519.53
UK,17-01-2000,5.9,-0.3,2.2,0,11.8,29.5,22308.98
UK,18-01-2000,5.7,0.3,3.4,0,13.3,29.2,20271.26
UK,19-01-2000,4.2,-1.5,0.8,0,9.7,19.8,21608.53
UK,20-01-2000,4.5,0.3,1.9,0,12.8,29.2,23053.49
UK,21-01-2000,3.9,-1.7,1.1,0,29.4,64.8,18210.53
UK,22-01-2000,4.8,-0.6,2.4,0.5,32.9,70.6,23526.55
UK,23-01-2000,2.2,-2.2,-0.3,0,15,32.4,23771.23
UK,24-01-2000,4.2,-1.8,1.4,0,13,34.9,24020.7
UK,25-01-2000,4.3,-2.7,-0.1,0,9,15.5,24274.46
UK,26-01-2000,5.3,-1.7,1.7,0,15.5,34.6,22524.33
UK,27-01-2000,4.6,2.3,3.3,1.7,23.6,48.6,0
UK,28-01-2000,6.5,2.8,4.2,13.3,30,65.9,0
UK,29-01-2000,7.2,2.1,4.6,12.7,50,122,25082.72
UK,30-01-2000,8.3,1.3,4.8,15.2,37.3,87.5,0
UK,31-01-2000,7.6,4.3,5.8,10.7,39.3,106.6,10553.33
UK,01-02-2000,7.1,3,5.7,13.8,29.4,64.8,14400
UK,02-02-2000,4.6,2.5,3.4,2,34.3,75.2,25398.91
UK,03-02-2000,6.1,2.5,4.1,1.3,22.7,50,11373.09
UK,04-02-2000,9.9,6.4,8.6,1.1,26.2,55.4,0
UK,05-02-2000,8,6.4,6.9,0.8,30.2,66.2,0
UK,06-02-2000,7.7,3.6,5.9,4.9,40.7,96.5,1787.56
UK,07-02-2000,6.5,1.9,3.5,7.9,43,97.2,5206.23
UK,08-02-2000,5.5,0,2.8,7.6,41.3,91.1,16821.24
UK,09-02-2000,5.8,0.1,3.7,1.2,37.7,89.3,23266.87
UK,10-02-2000,6,0.5,2.8,10.5,40.7,93.2,27689.4
UK,11-02-2000,5.5,1.5,3.8,0.9,37.4,77,16217.39
UK,12-02-2000,5.1,-0.6,1.1,16,39.7,83.5,25135.33
UK,13-02-2000,3.3,-3.2,0.6,0.5,26.7,65.5,29469.88
UK,14-02-2000,5.9,-4,0.9,4.1,28.3,62.6,8125.56
UK,15-02-2000,2.9,-1.3,1,6.2,26.1,59,18564.13
UK,16-02-2000,0.4,-6.9,-2.2,1.4,22.8,46.8,30336.4
UK,17-02-2000,2.4,-8,-1.8,4.9,19.8,42.5,20822.82
UK,18-02-2000,3.4,1.5,2.4,7.9,19.4,48.6,1680.8
UK,19-02-2000,3.2,-1.8,0.5,0,14.1,30.6,31208.28
UK,20-02-2000,3.4,-3.3,0.1,0.5,23.9,54.4,24199.14
UK,21-02-2000,4,-0.6,2.2,4.1,24.1,55.1,28225.03
UK,22-02-2000,4.2,-2.3,1.1,0,18.6,41.8,23302.84
UK,23-02-2000,7.9,2.9,5.6,4.6,28.5,61.2,457.86
UK,24-02-2000,4,-0.1,1.8,4.2,27,67.7,24947.95
UK,25-02-2000,5.3,-0.2,2.4,1.5,29.4,59.8,29960.08
UK,26-02-2000,6.7,1.4,3.6,2,29.4,63,25372.23
UK,27-02-2000,7.3,2.7,5.6,27.3,36,81,0
UK,28-02-2000,3.8,0.7,2.2,3.7,27.6,77,23641.21
UK,29-02-2000,4.6,0.7,2.1,2.2,25.3,55.1,26327.21
UK,01-03-2000,3.6,-1.4,0.9,0.1,24.2,54,33471.63
UK,02-03-2000,6.4,-1.7,2.9,21.5,32,69.8,0
UK,03-03-2000,3.5,-2.3,1.1,0.9,31.4,67.7,33323.41
