Country,Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
Brazil,01-01-2000,26.5,21.8,23.7,15.7,8.8,24.8,10559.94
Brazil,02-01-2000,27.2,21.8,23.5,11.7,12.7,32.8,14654.83
Brazil,03-01-2000,26.6,21.6,23.3,20.9,15,38.2,16619.55
Brazil,04-01-2000,24,21.3,22.3,12,13.4,29.2,7564.03
Brazil,05-01-2000,27.8,21.1,23.7,16.6,13,31.3,27173.35
Brazil,06-01-2000,28.6,21.2,24.8,15.8,5.2,25.2,38525.74
Brazil,07-01-2000,29.1,21,24.7,6.3,10,21.6,23612.15
Brazil,08-01-2000,30.4,21.2,24.6,9.7,11.9,29.9,34763.34
Brazil,09-01-2000,27.6,21.5,23.3,10,10.5,31.3,13383.35
Brazil,10-01-2000,29.4,21.2,24.6,11.9,8.9,33.8,35059.9
Brazil,11-01-2000,29.4,22.1,25.8,0,7.2,29.9,42105.67
Brazil,12-01-2000,29.8,23.1,26.4,6.1,6.5,23,40569.95
Brazil,13-01-2000,30.2,22.2,26.1,14.2,10.8,29.5,41387.71
Brazil,14-01-2000,30.3,21.3,25.9,10,8.7,26.6,42089.08
Brazil,15-01-2000,31.5,22.8,27.4,0.6,8,26.6,43699.74
Brazil,16-01-2000,31.6,23.4,26.9,2.8,9.7,24.1,39314.6
Brazil,17-01-2000,32.8,22.9,27.1,1,5.9,19.4,34257.11
Brazil,18-01-2000,31,23.4,26.8,4.4,4.7,28.1,40487.55
Brazil,19-01-2000,31.3,23.1,27.1,2.2,7.9,25.2,43596.14
Brazil,20-01-2000,31.9,22.9,27.2,6.1,11.3,30.2,36643.49
Brazil,21-01-2000,28.3,22.8,24.8,26.5,10.9,33.8,16513.64
Brazil,22-01-2000,28.6,23.4,25.3,17,9.8,31.3,28273.76
Brazil,23-01-2000,28.3,22,25,18.3,7,23.8,29590.86
Brazil,24-01-2000,29.4,22.6,25.3,3.5,10.5,22.3,30126.27
Brazil,25-01-2000,27.9,23.1,24.9,22.1,12.6,28.1,32031.46
Brazil,26-01-2000,29.1,22.1,24.9,4.1,15.1,37.4,40390.25
Brazil,27-01-2000,30.2,22.3,25.4,1.7,11.3,38.9,19176.05
Brazil,28-01-2000,30.9,22.7,26.3,4.9,7.9,29.9,35981.06
Brazil,29-01-2000,30.8,22.9,26.4,6.3,8.6,22.7,42084
Brazil,30-01-2000,29.7,22.2,25.3,12.9,11.2,31.3,31859.38
Brazil,31-01-2000,30.6,23,26.6,3.7,5.7,23.4,40106.8
Brazil,01-02-2000,32.4,23.2,27.7,0.1,6.2,20.9,40760.2
Brazil,02-02-2000,30.7,23.8,27,4.2,7.6,28.8,36749.4
Brazil,03-02-2000,29.5,24,26.2,7.5,11.2,30.2,28969.46
Brazil,04-02-2000,30.7,23.3,26.6,10.6,8.9,27,41396.4
Brazil,05-02-2000,29.2,23,25.7,5.7,8.6,23,32565
Brazil,06-02-2000,28,22.7,24.6,14.4,7,18.7,17312.82
Brazil,07-02-2000,27.9,22.1,24,25,9.3,23,18558.85
Brazil,08-02-2000,26.9,22.2,24,12.3,8.3,23,21155.39
Brazil,09-02-2000,29.3,21.9,24.6,4.2,8.9,23.4,20841.96
Brazil,10-02-2000,26,22.2,24.1,21.6,10.8,28.4,22470.37
Brazil,11-02-2000,28.6,21.7,24.5,8.6,8.6,25.2,28090.17
Brazil,12-02-2000,28.3,22.1,24.7,2.3,8.1,25.9,17995.4
Brazil,13-02-2000,27.2,21.9,24.2,9.3,5.7,25.2,29987.58
Brazil,14-02-2000,28.1,21.6,24.9,13.3,4.5,15.8,29378.73
Brazil,15-02-2000,30.7,21.9,26.2,0.7,6.5,25.2,41372.12
Brazil,16-02-2000,28.6,22.8,25.3,10.4,7.4,23.8,30025.86
Brazil,17-02-2000,28.8,21.8,25.1,16,8.4,19.8,23782.29
Brazil,18-02-2000,28.5,21.9,25.1,2,9.4,19.8,37754.83
Brazil,19-02-2000,27.4,21.9,24.1,10,8.6,29.5,20444.13
Brazil,20-02-2000,29.3,21.5,25.5,4,8.9,34.6,39979.38
Brazil,21-02-2000,27.4,21.8,24.4,10.4,8.5,22.3,8977.96
Brazil,22-02-2000,28.8,22,25.6,3.4,8,24.5,38170.92
Brazil,23-02-2000,31.3,22.5,26.3,0.9,12.3,28.1,41200.86
Brazil,24-02-2000,30.9,22.2,26.4,1,7.3,27,41181
Brazil,25-02-2000,31.5,23.1,27.1,0,9.8,29.2,41625.42
Brazil,26-02-2000,29.9,23,26,1.2,7.1,22.7,28390.38
Brazil,27-02-2000,31.6,23.1,27,0.4,5.1,21.6,40818.94
Brazil,28-02-2000,27.6,23.2,25.4,13.6,6.8,20.2,20467.9
Brazil,29-02-2000,29.6,22.1,25.4,8.7,8.6,18.4,34455.2
Brazil,01-03-2000,27.6,21.8,24.5,19.6,8.2,25.9,9716.07
Brazil,02-03-2000,29.5,22.4,24.9,15.6,10,22.3,34452.9
Brazil,03-03-2000,27,21.6,24.1,9.4,5.9,17.6,11146.39
Brazil,04-03-2000,28.3,22.3,24.5,11.7,7.6,21.2,18279.52
Brazil,05-03-2000,29.1,21.9,25,10.8,8.3,24.8,25058.25
Brazil,06-03-2000,30.3,22.2,26.1,2.8,9.2,24.8,41084.63
Brazil,07-03-2000,30.9,22.8,26.8,1.8,5.9,17.6,40377.23
Brazil,08-03-2000,30.4,22.2,25.8,13.7,8,23.4,35512.54
Brazil,09-03-2000,28.6,21.4,24.8,5.1,7.6,20.2,33358.1
Brazil,10-03-2000,29.2,21.3,25.5,8.6,7.3,22,40040.29
Brazil,11-03-2000,28.4,21.8,24.6,18.4,7.9,28.4,30424.19
Brazil,12-03-2000,27.9,22.2,24.5,12.7,10.1,31.7,24093.79
Brazil,13-03-2000,26.5,22.4,24,22.3,13.4,36.4,11388.87
Brazil,14-03-2000,28.8,21.4,24.5,5.1,8.6,22.3,30172.34
Brazil,15-03-2000,28.5,22.2,24.7,7.2,7.3,19.1,30974.41
Brazil,16-03-2000,27.3,22.5,24.4,10.2,5.7,17.6,23003.7
Brazil,17-03-2000,27.8,22.2,24.8,6.7,5.7,16.9,26039.36
Brazil,18-03-2000,28.6,21.9,24.8,10.2,6.6,18.4,23440.86
Brazil,19-03-2000,28.1,22.1,25,10.3,6.9,20.9,13134.63
Brazil,20-03-2000,29.9,22.1,25.9,2.8,8.9,26.3,40193.71
Brazil,21-03-2000,30.8,22,25.5,13.1,7.8,18.4,37579.25
Brazil,22-03-2000,30.5,22.3,26,2,8.7,34.6,39446.56
Brazil,23-03-2000,31.1,21.7,26.8,0.1,10.1,33.8,39651.3
Brazil,24-03-2000,31,22.7,26.9,1.4,7.6,30.2,40010.42
Brazil,25-03-2000,32.4,23.3,27.9,0,8.5,27.7,39933.98
Brazil,26-03-2000,32,23.2,27.7,0,7.4,20.2,39927.59
Brazil,27-03-2000,31.8,22.9,27.4,0.3,7.9,22.7,39824.14
Brazil,28-03-2000,30.1,23.9,26.9,5.7,6.6,18.7,39600
Brazil,29-03-2000,29.8,22.8,25.8,5.7,9.5,22,39600
Brazil,30-03-2000,29.3,21.8,25,4.5,7.6,22.7,31611.51
Brazil,31-03-2000,28.4,21.6,24.3,12.9,8.6,24.8,24303.89
Brazil,01-04-2000,29,22,24.8,5.9,9.5,31,29627.99
Brazil,02-04-2000,30.7,22.7,26.4,0,8.3,25.6,39600
Brazil,03-04-2000,31.7,22.3,27,0,6.8,24.8,39600
Brazil,04-04-2000,31.3,23.3,26.2,6.4,8.7,29.5,39600
Brazil,05-04-2000,30.2,22.2,26,0.8,8.3,29.9,39600
Brazil,06-04-2000,31.2,22.8,26.8,0.2,11.5,29.9,39600
Brazil,07-04-2000,31.3,22.6,26.7,1.4,8.7,28.8,39600
Brazil,08-04-2000,30.7,23,26.6,0,8.1,27.7,39600
Brazil,09-04-2000,31,22.3,26.3,0.7,9.7,26.3,39600
Brazil,10-04-2000,30.3,23.1,26.6,0.3,6.9,22.3,39600
Brazil,11-04-2000,30.1,22.7,26.2,2.3,12.7,28.8,38311.55
Brazil,12-04-2000,29.6,23,25.8,9.4,8.3,23,39600
Brazil,13-04-2000,29.9,21.8,25.4,1,7.7,16.2,39600
Brazil,14-04-2000,31.3,22.2,27,0.1,4.9,18,39600
Brazil,15-04-2000,30.7,23.2,26.5,3.4,6.1,21.6,38209.22
Brazil,16-04-2000,28.4,22.9,25.7,7.6,5.3,22,30441.67
Brazil,17-04-2000,31,22.2,26.6,0.2,5.6,19.4,39502.11
Brazil,18-04-2000,29.3,22.9,26,6,8,22.3,37346.97
Brazil,19-04-2000,29,21.8,25.3,8.6,7,19.1,37777.02
Brazil,20-04-2000,29,22,25.4,4.5,8.3,20.9,33898.17
Brazil,21-04-2000,29.5,22.7,26.1,0.1,11.8,24.5,39356.07
Brazil,22-04-2000,29.9,23,26,0,10.5,23.4,39321.14
