Country,Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
China,01-01-2000,2.5,-6.4,-2.1,0,11.5,21.6,31290.29
China,02-01-2000,8,-7.8,-1,0,11.2,20.5,31514.88
China,03-01-2000,8.5,-4.9,0.8,0,10.8,24.1,31470.55
China,04-01-2000,3.2,-6.4,-2,0,10.2,23,31518.97
China,05-01-2000,-5.1,-10.1,-7.2,0,15.3,32.4,30848.45
China,06-01-2000,2.7,-12.4,-6.6,0,10.3,19.8,31622.6
China,07-01-2000,1.9,-8.8,-4.5,0,8.4,15.5,31677.61
China,08-01-2000,4,-5.6,-2.1,0,9.2,16.6,31734.57
China,09-01-2000,5.6,-7.5,-1.5,0,11.3,32,31882.9
China,10-01-2000,0.9,-6.1,-2.8,0,12.7,29.5,29144.64
China,11-01-2000,-1.8,-7.7,-5.6,0.8,9.4,23,25138.11
China,12-01-2000,0.3,-9.5,-5.1,0,8.9,22.3,32070.16
China,13-01-2000,-3.7,-8,-6.4,0,11.5,27,26976.86
China,14-01-2000,-1.1,-8.7,-6.2,0.3,14.3,31,25257.33
China,15-01-2000,-2.2,-9.7,-6.5,0.6,9.3,21.6,30192.36
China,16-01-2000,-4.9,-8.9,-7.1,0.7,8.9,21.6,17972.15
China,17-01-2000,-0.8,-9.6,-5.8,0,10.5,18,31559.55
China,18-01-2000,-1.6,-9.4,-6.4,0,10.8,23,32282.81
China,19-01-2000,0.3,-11,-6.4,0,12.3,20.9,32841.1
China,20-01-2000,0.6,-9.2,-4.8,0,18.9,43.9,29194.96
China,21-01-2000,0.1,-6.9,-4,1.4,11.3,22.7,31811.09
China,22-01-2000,-3.2,-9.1,-6.5,0,11.7,28.1,32866.55
China,23-01-2000,-1.4,-9.5,-5.8,0.3,13.2,29.9,30243.76
China,24-01-2000,0.1,-9.3,-5.8,0,12.5,17.6,33019.51
China,25-01-2000,-6.4,-11.2,-9,0,10,22.3,27500
China,26-01-2000,-3.2,-13.8,-9.3,0,11,16.2,33174.61
China,27-01-2000,-2.5,-11.6,-7.9,0,10.8,19.1,33364.4
China,28-01-2000,-4.3,-10.5,-8,0,11.8,28.4,32277.32
China,29-01-2000,-6.2,-13.3,-10.1,0,10.6,21.6,33639.72
China,30-01-2000,-6.9,-12.3,-10.2,0.5,10,22.7,20568.49
China,31-01-2000,-4.6,-16,-10.6,0,12.7,22.3,33480.31
China,01-02-2000,-3.6,-14,-9.4,0,10.6,22.7,34126.38
China,02-02-2000,-3.4,-13.6,-9.4,0,11,22.7,33991.82
China,03-02-2000,-3.2,-12.6,-8.6,0,9.1,23,34228.5
China,04-02-2000,0.9,-10.7,-5.3,0.3,11.2,21.6,32906.61
China,05-02-2000,1.9,-8.8,-4.1,0,11.7,16.2,34335.7
China,06-02-2000,-2.2,-9,-5.9,0,17.8,40,34391.05
China,07-02-2000,0,-13.1,-7.2,0,12.2,19.4,34591.92
China,08-02-2000,1.3,-9.6,-4.9,0,11.2,16.9,34357.12
China,09-02-2000,3.6,-8.5,-3.1,0,10.9,21.2,34846.78
China,10-02-2000,5.4,-6.1,-1.1,0,12.5,23.4,34854.22
China,11-02-2000,6.3,-6.3,-0.8,0,13,20.2,35067.2
China,12-02-2000,2.5,-6.1,-2.9,1.1,19.2,40.7,22027.12
China,13-02-2000,-0.9,-7,-4.5,0,10.8,27,27333.03
China,14-02-2000,1.7,-5.9,-2.9,0,10.9,19.4,32865.7
China,15-02-2000,4,-6.9,-2.2,0,10.4,22.7,35816.96
China,16-02-2000,7.8,-6,-0.5,0,14,23.4,35730.47
China,17-02-2000,4.2,-5.3,-1.1,0,13,27,20963.52
China,18-02-2000,1.2,-3.8,-1.8,1.5,15.7,33.5,27055.16
China,19-02-2000,1.1,-6.6,-2.7,0.2,7.4,21.2,27626.49
China,20-02-2000,3.9,-5.5,-1.6,0,13.5,30.6,35315.61
China,21-02-2000,5.8,-5.7,-0.7,0,11.2,23,36839.38
China,22-02-2000,1.8,-4.8,-1.4,1.8,12.1,29.2,15354.7
China,23-02-2000,0.5,-4.7,-2.6,4.4,16.8,36.7,0
China,24-02-2000,-4.6,-12.1,-7.8,2.3,17.6,39.6,8384.2
China,25-02-2000,-2.2,-17.3,-9.6,0,12.8,31.7,37387.53
China,26-02-2000,0,-10.5,-5.9,0,7.6,14.8,37524.21
China,27-02-2000,0.3,-8.6,-4.7,0,8.9,19.8,33340.02
China,28-02-2000,1.7,-8.6,-4.2,0,8,16.6,37796.4
China,29-02-2000,2.9,-7.9,-3.3,0,11.6,17.3,37927.46
China,01-03-2000,4,-8.7,-2.9,0,11,22.7,37985.16
China,02-03-2000,2,-6.3,-1.1,0.9,12.2,30.6,33297.46
China,03-03-2000,3.5,-8,-2.5,0,11.2,25.2,38099.4
China,04-03-2000,3.4,-4.8,-1,1.5,6.8,20.2,28152.15
China,05-03-2000,3.9,-6.9,-1.3,0,11.3,26.3,38212.12
China,06-03-2000,3.9,-5.8,-1.3,0,10.7,27.7,35632.94
China,07-03-2000,5,-4.8,-0.4,0,10.8,25.9,36784.66
China,08-03-2000,6.1,-4.1,0.3,0,15.3,31.3,35224.66
China,09-03-2000,6.1,-3.2,1.2,0,14.1,34.2,31701.35
China,10-03-2000,5,-2.4,1.1,2.6,8.8,16.6,27247.47
China,11-03-2000,6.4,-5.7,0.1,0,11.4,22,38544.09
China,12-03-2000,9,-5.3,1.8,0,11.7,28.1,38770.11
China,13-03-2000,9.1,-0.6,3.5,0,9,23.8,33709.59
China,14-03-2000,5.6,-2.3,1.1,0.4,18.3,41.8,27014.27
China,15-03-2000,9.6,-4.2,2.9,0.1,11.5,31,39470.59
China,16-03-2000,10.4,0.2,5.3,0,10.1,24.8,39639.75
China,17-03-2000,10.5,-1.7,4.3,0,10.1,22,38204.24
China,18-03-2000,11.6,-0.8,5.2,0.9,15.4,37.8,39016.3
China,19-03-2000,13.9,3.3,7,0.3,15.8,41.4,29953.3
China,20-03-2000,8.2,0.4,3.7,0.6,15.8,31,20493.25
China,21-03-2000,14.7,-1.8,6.2,0.4,19,38.5,39960.18
China,22-03-2000,4.2,-2.5,0.8,0.8,17.4,53.3,31471.98
China,23-03-2000,7.5,-4.4,1.4,0,9.1,21.6,38560.99
China,24-03-2000,8.9,-3,3.1,0.7,11.5,28.8,24825.49
China,25-03-2000,10.2,-0.5,4.3,0,9.3,20.2,41391.38
China,26-03-2000,14.7,-2,5.7,0,22.4,50.4,41528.19
China,27-03-2000,16.6,0.2,8.6,0,14.7,35.6,41664.86
China,28-03-2000,19.1,3.2,10.6,0,12.9,24.8,41801.31
China,29-03-2000,21.7,2.6,12.2,0,12.2,24.8,41937.44
China,30-03-2000,19.8,8,13.6,0,12.9,33.5,42073.18
China,31-03-2000,19.8,9.3,13.8,0.6,14.5,30.6,41914.73
China,01-04-2000,15.3,4.8,10.4,0,14.8,35.3,40258.03
China,02-04-2000,13,4.9,9.2,1.8,9.3,22.7,26765.38
China,03-04-2000,14.9,3.2,8.7,0,14.7,35.6,30470.07
China,04-04-2000,12,2.7,7,1.7,15.5,32.4,32382.54
China,05-04-2000,13.9,-1.4,7.1,0.2,10.3,28.4,42667.98
China,06-04-2000,13,2.1,7.5,0.1,12.2,25.6,42336.25
China,07-04-2000,17.3,0.3,8.7,0,16,32.8,42831.17
China,08-04-2000,15.9,4.1,9.5,0,11.9,29.9,42680.21
China,09-04-2000,9.4,1.5,5.6,0,19.7,46.4,42990.44
China,10-04-2000,13.9,-1.5,6.1,0,11.2,25.9,39469.75
China,11-04-2000,17.1,1,8.9,0,15.6,40.7,43148.96
China,12-04-2000,22.6,0.8,12.3,0,25.6,36.7,43200
China,13-04-2000,10,3.1,6.5,0,25.6,73.4,33167.07
China,14-04-2000,8.3,-0.1,3.6,0.5,25.2,57.2,43200
China,15-04-2000,17,-3,6.8,0,11.1,31.7,43200
China,16-04-2000,21.3,2,10.9,0,17.4,38.9,43200
China,17-04-2000,18.5,5.1,11.5,0,17.3,39.2,35789.12
China,18-04-2000,22.1,5.6,14,0,17.9,47.9,43200
China,19-04-2000,12.2,5.4,8.9,0,21.6,49,36242.8
China,20-04-2000,16.6,1.5,9.7,0,14.6,38.5,43200
China,21-04-2000,17.7,7.8,12.5,0,14.1,32.4,41162.59
China,22-04-2000,19.6,2.3,12.5,0,10.9,32.8,43200
China,23-04-2000,24.7,4.6,14.9,0,24.5,52.9,43115.49
China,24-04-2000,16.9,6.7,11.8,0,18.9,43.6,43200
China,25-04-2000,16.1,6.3,10.9,0,18.1,44.6,31306.96
China,26-04-2000,18.8,6.3,12.4,0,15.6,39.6,43346.73
China,27-04-2000,20.4,5.4,13,0,17.4,40.3,43200
China,28-04-2000,19.5,4,11.6,2.6,35.6,79.2,36000
China,29-04-2000,16.3,1.8,9.8,0,8.9,26.3,39855.92
China,30-04-2000,20,3.2,12.3,0,12.5,33.8,43200
China,01-05-2000,21.8,7.5,14.9,0,11.7,33.1,43125.55
China,02-05-2000,23.3,9.1,16.9,0,14,37.1,43656.18
China,03-05-2000,25.4,11.1,18.4,0,11.3,30.6,43423.35
China,04-05-2000,25.9,9.7,18.2,0,16.3,33.8,44089.09
China,05-05-2000,23.3,10.2,16.8,0,15,35.3,43414.5
China,06-05-2000,24.3,9.7,16.5,0.8,13.6,35.6,36852.6
China,07-05-2000,23,9.4,16.3,2.6,12.2,30.6,26558.46
China,08-05-2000,15.4,10.4,12.6,3.6,14.8,35.6,11255.66
China,09-05-2000,20.9,9,14.3,0,16.1,35.3,44571.12
China,10-05-2000,22.5,8.1,15.1,3,19.4,47.5,43580.88
China,11-05-2000,22.6,5.5,15.1,2.6,22.2,56.9,44704.57
China,12-05-2000,25.4,11,18.3,0,11,29.9,44838.81
China,13-05-2000,27.6,12.4,20.2,0.2,22.7,53.6,39542.35
China,14-05-2000,23.4,10.2,17.4,1.6,13.6,45,39513
China,15-05-2000,18.7,12,15.7,1.6,17.4,36,29958.45
China,16-05-2000,21.8,7.8,15.4,0.5,8.3,21.6,45123
China,17-05-2000,20.5,9.9,15.8,1.3,14.6,33.8,41604.42
China,18-05-2000,22.8,11.4,16.9,0,13.2,32.8,46242.79
China,19-05-2000,25.2,12.7,18.7,0,9.6,24.5,46535.82
China,20-05-2000,27,10,19,0,15.3,41.8,47855.59
China,21-05-2000,28.6,9.4,20.2,0,14.2,36.4,45567.21
China,22-05-2000,28.3,14.4,21.1,0,18.6,45.4,45181.34
China,23-05-2000,28.4,11,20.3,0,19.1,42.8,46308.4
China,24-05-2000,27,13.1,20.1,0,15.4,41,42836.1
China,25-05-2000,22.1,10.2,16.7,1.4,29.4,67.7,40715.58
China,26-05-2000,19.9,8.1,14.2,0.5,18.8,44.3,44977.51
China,27-05-2000,21.7,12.4,16.2,0,16,38.2,24536.86
China,28-05-2000,19.8,8.3,14.3,0,18.1,40.7,48326.61
China,29-05-2000,25,7.1,16.8,0.4,22.2,46.4,39989.35
China,30-05-2000,28.4,9.7,19.9,0,13.5,35.6,48545.51
