Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,21.8,12.9,16.8,0.0,7.9,16.6,33374.83
2000-01-02,21.9,11.4,15.9,0.0,11.2,21.6,32957.63
2000-01-03,19.6,11.3,14.6,0.0,22.8,45.4,28453.53
2000-01-04,13.3,8.6,11.1,3.3,25.4,49.7,21269.63
2000-01-05,10.8,5.7,8.2,0.1,34.9,57.6,32681.21
2000-01-06,11.5,5.9,8.4,0.5,27.0,44.6,28468.55
2000-01-07,13.1,5.9,9.2,0.0,10.4,17.3,32734.48
2000-01-08,14.4,5.4,9.5,0.0,14.7,24.1,33718.42
2000-01-09,12.1,6.8,9.0,0.3,18.0,29.2,28430.18
2000-01-10,12.5,4.8,8.5,0.3,18.1,31.7,32987.73
2000-01-11,12.8,5.0,8.7,0.0,12.1,22.0,33880.03
2000-01-12,12.6,4.7,8.2,0.0,9.8,22.7,33938.51
2000-01-13,13.7,3.9,8.6,0.0,11.9,24.5,33405.01
2000-01-14,14.0,5.0,9.4,0.0,14.1,26.6,28142.47
2000-01-15,13.8,4.8,10.0,2.4,16.4,28.4,34110.32
2000-01-16,12.7,4.7,8.6,0.0,10.9,20.2,33457.62
2000-01-17,12.6,5.2,8.8,0.0,10.0,22.3,34261.37
2000-01-18,14.1,4.6,9.3,0.3,37.6,66.2,34331.42
2000-01-19,14.3,9.1,11.0,0.0,33.9,54.0,22585.4
2000-01-20,14.4,7.5,10.7,0.0,37.9,62.3,34477.87
2000-01-21,10.4,6.4,8.7,7.3,30.7,48.6,27772.29
2000-01-22,11.6,4.9,8.2,0.0,21.0,33.8,34634.59
2000-01-23,12.9,4.0,8.8,0.0,14.3,22.7,34716.49
2000-01-24,15.8,3.9,9.8,0.0,13.8,26.6,34800.55
2000-01-25,15.6,8.1,11.1,0.0,19.1,32.4,34886.64
2000-01-26,12.4,7.5,9.3,0.9,27.8,44.6,33463.84
2000-01-27,10.4,3.8,7.1,10.9,33.2,69.1,26045.05
2000-01-28,7.0,1.6,4.0,4.8,32.1,51.1,32583.96
2000-01-29,9.9,1.8,6.0,0.0,13.3,25.6,35248.61
2000-01-30,12.6,3.0,7.5,0.0,14.8,27.7,35315.2
2000-01-31,13.8,4.4,8.7,0.0,12.1,20.2,35373.03
2000-02-01,12.9,4.3,8.9,0.1,15.3,26.6,35430.66
2000-02-02,13.5,7.3,10.1,0.0,13.5,24.1,33038.19
2000-02-03,14.9,5.6,10.5,0.0,11.6,24.1,35545.0
2000-02-04,16.4,7.6,11.1,0.0,10.5,17.6,35601.57
2000-02-05,15.3,6.4,10.3,0.0,18.5,28.8,25092.81
2000-02-06,12.0,7.2,9.6,0.5,30.9,48.2,29434.07
2000-02-07,12.4,5.9,9.3,0.0,12.3,23.0,33891.27
2000-02-08,12.7,6.2,9.1,0.0,10.9,20.2,35771.32
2000-02-09,14.6,5.7,9.7,0.0,8.3,15.8,35876.46
2000-02-10,16.1,5.0,10.6,0.0,12.6,25.9,34525.55
2000-02-11,16.3,5.5,11.1,0.0,7.4,17.3,35984.03
2000-02-12,17.3,8.7,12.1,0.0,19.7,34.6,36000.0
2000-02-13,13.2,7.2,9.9,1.5,36.0,58.7,36000.0
2000-02-14,14.7,7.5,10.7,0.6,16.8,30.6,36000.0
2000-02-15,16.5,8.0,11.5,0.0,17.9,31.0,36085.73
2000-02-16,15.0,6.4,10.4,0.0,33.3,52.6,35469.23
2000-02-17,13.8,6.9,10.0,0.0,13.0,25.9,36000.0
2000-02-18,17.4,5.5,11.1,0.0,13.1,18.7,36311.43
2000-02-19,17.5,4.5,10.7,0.0,25.5,43.9,36398.73
2000-02-20,14.7,7.2,10.7,0.0,14.3,25.2,36000.0
2000-02-21,17.9,6.6,11.2,0.0,17.3,32.4,36500.41
2000-02-22,16.8,4.8,10.7,0.0,17.0,30.2,36600.57
2000-02-23,14.6,7.0,10.6,0.0,18.9,33.1,36417.67
2000-02-24,14.2,4.3,9.2,0.0,19.5,34.6,36545.45
2000-02-25,15.7,6.1,10.2,0.0,16.9,25.6,36952.98
2000-02-26,16.5,4.9,10.2,0.0,21.5,36.7,37132.42
2000-02-27,13.6,6.4,9.7,0.3,20.9,40.3,36200.3
2000-02-28,15.3,5.9,10.2,0.0,15.8,32.0,36965.68
2000-02-29,16.0,4.5,10.3,0.0,15.3,27.4,37351.42
2000-03-01,13.0,7.1,9.2,1.6,37.2,64.8,37098.14
2000-03-02,12.9,6.3,9.3,0.8,22.3,39.6,31178.04
2000-03-03,18.2,6.0,11.7,0.0,13.0,27.0,38187.75
2000-03-04,16.5,5.0,10.8,0.0,28.4,48.2,38091.35
2000-03-05,16.5,6.0,11.1,0.0,11.6,20.2,38405.59
2000-03-06,16.4,6.4,11.0,0.0,20.2,34.6,37865.79
2000-03-07,11.1,7.0,9.1,1.1,33.0,55.1,28291.34
2000-03-08,11.5,5.0,8.1,0.0,23.5,40.3,37018.24
2000-03-09,14.8,4.5,9.2,0.0,11.9,21.2,38818.55
2000-03-10,16.2,5.2,10.2,0.0,14.2,24.5,39090.94
2000-03-11,16.6,4.6,10.6,0.0,16.3,27.4,39271.02
2000-03-12,18.5,4.9,11.7,0.0,17.1,27.7,39352.82
2000-03-13,17.8,8.7,12.4,0.0,21.6,37.4,38757.28
2000-03-14,17.9,6.9,12.1,0.0,18.4,28.8,39304.3
2000-03-15,20.8,7.3,13.7,0.0,17.8,29.5,39807.62
2000-03-16,23.1,6.8,14.5,0.0,20.0,32.4,39998.23
2000-03-17,21.8,7.2,14.2,0.0,16.9,30.2,40191.14
2000-03-18,23.4,8.0,14.6,0.0,29.7,51.1,39827.92
2000-03-19,20.4,7.3,13.2,0.0,17.0,30.2,40469.88
2000-03-20,20.9,7.7,14.1,0.0,11.9,23.4,36344.75
2000-03-21,20.3,11.3,14.9,0.8,20.5,34.2,35006.84
2000-03-22,18.1,9.1,12.6,0.0,20.8,36.4,39742.55
2000-03-23,15.2,5.8,10.4,0.0,33.4,54.7,40564.99
2000-03-24,15.1,6.9,10.7,2.1,38.5,58.0,33538.85
2000-03-25,16.0,8.2,11.6,0.0,17.2,29.9,41333.61
2000-03-26,19.4,8.1,13.0,0.0,15.9,26.6,41550.57
2000-03-27,22.9,6.3,14.3,0.0,16.5,27.0,41610.88
2000-03-28,24.4,9.0,16.2,0.0,17.7,27.4,41648.8
2000-03-29,25.2,10.8,17.3,0.0,18.0,27.7,41686.58
2000-03-30,25.0,9.4,17.3,0.0,15.8,26.6,41724.23
2000-03-31,25.9,11.6,18.3,0.0,13.8,27.7,41761.79
2000-04-01,28.4,13.5,20.8,0.0,18.8,35.6,38199.27
2000-04-02,31.3,15.4,22.9,0.0,23.1,33.1,41836.68
2000-04-03,24.9,12.4,17.9,0.0,16.4,31.3,41874.06
2000-04-04,26.8,11.7,18.6,0.0,15.2,29.9,41911.43
2000-04-05,29.3,12.4,20.8,0.0,14.0,20.5,41948.79
2000-04-06,32.9,17.2,24.0,0.0,16.1,35.6,40866.59
2000-04-07,23.0,13.6,17.6,0.0,19.5,34.9,42023.6
2000-04-08,20.2,9.3,14.7,0.0,23.5,40.0,42061.06
2000-04-09,19.7,10.0,14.2,0.0,26.5,47.5,42098.49
2000-04-10,19.9,9.5,14.3,0.0,13.2,25.6,42135.9
2000-04-11,28.9,10.2,19.7,0.0,13.7,28.8,34771.68
2000-04-12,35.1,18.3,26.2,0.0,25.3,41.0,25955.26
2000-04-13,32.7,15.1,23.1,0.0,30.6,54.0,42371.29
2000-04-14,22.8,11.9,16.7,0.0,20.1,34.6,42234.48
2000-04-15,25.0,10.5,17.2,0.0,14.1,27.4,42429.78
2000-04-16,28.6,12.5,19.8,0.0,16.9,30.2,42769.86
2000-04-17,32.2,13.4,23.0,0.0,10.1,24.8,42912.86
2000-04-18,31.7,15.7,24.5,0.0,20.2,36.0,41498.02
2000-04-19,26.4,17.1,21.9,0.0,28.4,48.2,43437.12
2000-04-20,24.1,13.4,18.6,0.0,28.0,48.6,43253.72
2000-04-21,23.9,11.1,18.0,0.0,19.1,34.2,43763.34
2000-04-22,21.4,12.4,17.2,0.0,21.8,41.0,43812.15
2000-04-23,24.2,11.9,17.8,0.0,22.4,37.8,43739.79
2000-04-24,24.9,11.1,17.9,0.0,20.7,37.1,44030.38
2000-04-25,25.7,10.9,18.2,0.0,20.9,38.2,44330.35
2000-04-26,28.1,12.3,19.5,0.0,22.9,43.9,44765.38
2000-04-27,27.5,12.1,19.2,0.0,24.8,47.2,44170.18
2000-04-28,25.2,13.6,18.8,0.0,17.2,31.0,45010.71
2000-04-29,23.7,12.5,17.4,0.0,20.2,34.9,44526.57
2000-04-30,25.4,12.6,18.2,0.0,17.6,33.8,44573.78
2000-05-01,26.7,11.9,19.1,0.0,15.3,27.4,45283.22
2000-05-02,30.3,13.7,21.7,0.0,17.1,30.6,45372.73
2000-05-03,31.0,15.2,23.6,0.0,11.4,21.6,41299.51
2000-05-04,29.6,16.4,23.8,0.0,29.9,51.8,45549.33
2000-05-05,25.5,14.1,19.0,0.0,21.4,40.3,44658.63
2000-05-06,24.5,13.6,18.2,0.0,22.5,40.7,44990.12
2000-05-07,23.8,10.8,16.6,0.0,22.7,40.3,45472.4
2000-05-08,22.2,10.9,16.1,0.0,21.6,41.4,45520.6
2000-05-09,26.3,10.7,18.1,0.0,21.6,40.7,45942.82
