Country,Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
Italy,01-01-2000,8.4,0,2.9,0,15.9,27.7,28872.51
Italy,02-01-2000,9,-1.1,2.9,0,12.6,24.1,28889.92
Italy,03-01-2000,10,0.5,4.1,0,14.5,26.3,29004.95
Italy,04-01-2000,10.6,-1.3,3.3,0,11.2,22,28930.67
Italy,05-01-2000,11.2,0.3,4.7,0,11.9,24.5,28953.66
Italy,06-01-2000,12,-0.1,5,0,10.5,16.9,29405.21
Italy,07-01-2000,11,0.3,4.8,0,9.8,17.3,29446.15
Italy,08-01-2000,11.6,0.7,5.3,0,8.7,16.6,26828.31
Italy,09-01-2000,12,2,6.3,0,8.5,16.6,29060.12
Italy,10-01-2000,12.6,0.9,5.9,0,7.4,14,29332.88
Italy,11-01-2000,11.6,1.6,5.6,0.8,10,18.4,29245.74
Italy,12-01-2000,11.5,1.6,5.9,1.5,11.5,21.2,29538.43
Italy,13-01-2000,12.3,3.1,7,2.2,21.1,42.1,26656.96
Italy,14-01-2000,11.5,5.1,7.2,9.2,19.1,43.2,11085.61
Italy,15-01-2000,12.5,1.8,6.8,0,11.7,19.1,30086.8
Italy,16-01-2000,11.7,0.9,5.4,0,10.1,16.2,30417.51
Italy,17-01-2000,9,1.1,4.7,0.6,15.1,25.2,30524.52
Italy,18-01-2000,11.1,1.2,5.4,0,13.6,23.8,30634.08
Italy,19-01-2000,10.3,1.1,5.4,0,17.2,39.2,30746.43
Italy,20-01-2000,9.7,-1.6,3.5,0,8.6,15.1,30862.72
Italy,21-01-2000,10.3,2.4,5.4,4.6,20.9,38.2,22538.69
Italy,22-01-2000,10.7,-0.5,5.4,1.9,21.3,41,28712.3
Italy,23-01-2000,8.2,3.4,6.3,8.5,36.4,67,23509.03
Italy,24-01-2000,8.3,0,3.7,0,24.6,49,31364.54
Italy,25-01-2000,6.1,-1.6,1.8,0,16.3,26.6,31478.56
Italy,26-01-2000,7,-1.5,2.1,0,9.5,17.6,31560.45
Italy,27-01-2000,7.6,-2.5,1.9,0,9.7,17.6,31642.9
Italy,28-01-2000,10.2,-1.8,3.7,0,9.1,16.6,28604.55
Italy,29-01-2000,10.8,5.4,7.9,4.6,14,29.5,20009.07
Italy,30-01-2000,13.7,3.7,8.7,0,13.7,24.8,30774.77
Italy,31-01-2000,13.1,2.1,7.6,0,9,21.2,19185.9
Italy,01-02-2000,13.8,6.7,10,0,6,13,31396.08
Italy,02-02-2000,12.9,5.4,9,0.4,17.4,39.6,21611.35
Italy,03-02-2000,15.2,8.2,11,1.3,13.8,25.9,23657.29
Italy,04-02-2000,13.2,3.5,7.7,0,14.8,25.6,32413.18
Italy,05-02-2000,11.6,-1.2,5.2,0,10.5,17.6,32563.88
Italy,06-02-2000,13.5,-0.1,6.6,0,13,23.4,32578.25
Italy,07-02-2000,12.4,2.3,7.3,0,9.5,19.4,31998.5
Italy,08-02-2000,12.6,2.8,8,0.2,14.3,27.7,21999.7
Italy,09-02-2000,13.9,8.6,11.2,0.5,30.6,53.3,14196.87
Italy,10-02-2000,12.3,5.1,8.4,0,30,56.9,32497.68
Italy,11-02-2000,13.1,0.5,6.5,0,14.7,28.1,33158.27
Italy,12-02-2000,11.9,3.2,7.1,0,9.2,15.5,31634.96
Italy,13-02-2000,12.7,2.8,7.5,0,11.9,21.2,33410.98
Italy,14-02-2000,14.2,2,7.8,0,9.6,18,32630.14
Italy,15-02-2000,12.9,1.6,7.8,0.2,12.3,25.2,22269.53
Italy,16-02-2000,13.7,9.1,10.9,1.3,28.1,50.4,21155
Italy,17-02-2000,9.9,4.2,7.1,6.4,29.6,55.4,26230.03
Italy,18-02-2000,10.7,1.1,5.4,0,17.4,37.1,34694.21
Italy,19-02-2000,14.2,4.1,8.8,3.8,15.1,32.8,31984.17
Italy,20-02-2000,14.6,1.7,7.7,0.5,19.1,34.2,34615.47
Italy,21-02-2000,12.8,3,7.3,0,19.2,33.1,35419.33
Italy,22-02-2000,10.8,0.7,5.5,0,9.7,19.4,34694.37
Italy,23-02-2000,10.8,-0.4,5.3,0,9.4,18,35216.34
Italy,24-02-2000,12,-0.6,5.3,0,14.4,27.4,36111.07
Italy,25-02-2000,12.3,-0.2,6.2,0,10.4,19.4,36351.55
Italy,26-02-2000,13.7,4.6,9.2,0,8.3,18.7,29832.32
Italy,27-02-2000,15.4,3.2,9.4,0,8.4,18.7,35730.49
Italy,28-02-2000,14.7,5.4,10.3,0,12.9,25.6,36462.31
Italy,29-02-2000,13.7,3.9,9,0,12.9,24.1,37083.64
Italy,01-03-2000,13.8,6.9,10.3,7.1,26.4,50.8,17983.61
Italy,02-03-2000,12,7.3,9.9,3.3,32.1,63.7,30464.76
Italy,03-03-2000,13.7,1.6,8.2,0,18.6,35.3,37599.11
Italy,04-03-2000,13.2,8.9,11,1.2,21.3,38.9,15819.61
Italy,05-03-2000,16.6,8.1,11.8,0.5,11.9,26.3,37946.18
Italy,06-03-2000,12,4.7,8.4,0.5,11.2,24.1,38046.12
Italy,07-03-2000,13.7,1.9,7.9,0,8.9,23,38294.78
Italy,08-03-2000,14.7,2.9,9,0,13,22,38469.35
Italy,09-03-2000,14.1,3.9,8.9,0,13,25.9,38556.29
Italy,10-03-2000,15.1,5.9,10.3,0,8.6,18.4,36800.94
Italy,11-03-2000,15.2,5.9,10.6,0,8.7,16.9,32885.17
Italy,12-03-2000,16.2,8.4,11.3,0,11.6,20.2,23500.22
Italy,13-03-2000,17.4,6.5,11.7,0,12,20.5,38838.91
Italy,14-03-2000,16.1,7,11.3,0.2,13.1,29.2,38908.61
Italy,15-03-2000,14.7,8.8,11.4,4.5,12.7,26.6,32264.6
Italy,16-03-2000,15.7,4.7,10.3,0,17.1,29.9,39285.17
Italy,17-03-2000,15.3,3.7,10.3,0,15.4,31,39441.39
Italy,18-03-2000,16.3,4.2,10.1,0,11.3,24.5,39522.21
Italy,19-03-2000,12.8,4.8,9,0.3,15.6,25.9,39599.25
Italy,20-03-2000,8.5,6.2,7.5,21.1,17.5,32.8,0
Italy,21-03-2000,13.6,2.6,8.1,0,12.3,26.6,39386.36
Italy,22-03-2000,14.5,2.1,8.9,0,12.9,26.6,40556.75
Italy,23-03-2000,15.2,2.9,9.7,0,10.8,22.7,40879.12
Italy,24-03-2000,15,3.3,9.5,0,12.6,21.2,30519.54
Italy,25-03-2000,15.4,7.1,11.2,2.5,11.9,28.8,32393.29
Italy,26-03-2000,14.2,8.9,11.5,20.7,14.8,29.5,12706.55
Italy,27-03-2000,14.4,7.7,11.3,9.2,28.6,58.7,33739.88
Italy,28-03-2000,16.1,10.4,13,6.8,31.5,56.9,31288.07
Italy,29-03-2000,13.9,8.8,12.4,15.8,26.8,56.9,27229.99
Italy,30-03-2000,14,6.8,10.2,0.1,18.7,36.7,41429.74
Italy,31-03-2000,16.9,5,10.8,0,13,25.6,41882.82
Italy,01-04-2000,14.8,9,11.5,17.4,23.3,45.4,36619.49
Italy,02-04-2000,16.5,5.9,11.3,0,23.9,42.1,38131.21
Italy,03-04-2000,18,11.4,14.8,0.6,32.3,59,30083.76
Italy,04-04-2000,16.1,7.4,12.2,10.4,21.8,34.9,18000
Italy,05-04-2000,16.2,9.2,12.8,1.8,23.5,42.8,42442.8
Italy,06-04-2000,15.9,7.4,11.8,3.7,20.9,35.3,42634.92
Italy,07-04-2000,17.6,4.7,11.1,0,15.1,28.1,42806.29
Italy,08-04-2000,15.6,4.8,10.6,0,13.8,27,42820.44
