Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,17.0,9.3,12.7,0.0,34.0,51.8,34718.44
2000-01-02,16.7,8.9,11.9,0.0,24.5,40.0,25844.9
2000-01-03,12.5,6.1,9.4,0.0,17.3,28.8,6513.02
2000-01-04,12.8,6.0,9.7,0.0,20.4,30.2,27226.21
2000-01-05,12.6,3.3,8.5,0.0,16.8,31.7,23719.34
2000-01-06,12.5,4.3,9.0,0.0,13.1,24.1,32911.31
2000-01-07,13.7,5.3,10.0,0.0,11.5,21.6,27650.11
2000-01-08,14.0,5.3,10.3,0.0,11.5,19.1,26900.73
2000-01-09,14.2,4.3,9.7,0.0,20.4,34.6,30015.56
2000-01-10,14.9,5.0,10.1,0.0,19.5,35.6,35192.98
2000-01-11,14.2,5.7,10.5,0.0,21.0,36.4,24885.29
2000-01-12,13.4,7.2,9.9,0.0,30.1,50.4,23920.28
2000-01-13,14.7,4.7,9.4,2.4,26.3,44.3,35336.12
2000-01-14,14.4,6.5,10.7,1.9,25.1,38.5,33927.51
2000-01-15,14.2,-0.3,7.5,0.0,12.4,21.6,35440.08
2000-01-16,14.9,0.6,8.3,0.0,14.2,27.4,34917.5
2000-01-17,14.9,0.3,7.6,0.0,18.4,30.2,35550.21
2000-01-18,13.9,1.1,7.5,0.0,18.1,31.0,35607.41
2000-01-19,14.3,-1.4,6.8,0.0,15.6,27.0,35666.17
2000-01-20,17.8,0.8,9.6,0.0,10.9,18.7,35727.12
2000-01-21,17.3,3.3,10.8,0.0,15.6,28.4,35752.57
2000-01-22,17.4,3.0,10.8,0.0,17.8,29.9,35768.71
2000-01-23,19.4,4.4,12.0,0.0,21.5,36.7,35786.46
2000-01-24,19.2,5.3,12.5,0.0,24.8,39.6,35805.76
2000-01-25,18.1,0.8,10.7,0.0,13.8,22.3,35826.58
2000-01-26,18.7,5.8,12.5,0.0,17.4,31.0,35848.88
2000-01-27,18.4,4.7,11.7,0.0,19.9,33.1,35872.61
2000-01-28,14.6,3.7,9.2,0.0,19.2,34.2,35897.72
2000-01-29,13.5,1.1,7.8,0.0,13.9,27.0,35924.19
2000-01-30,15.0,1.0,8.3,0.0,19.0,28.1,35951.97
2000-01-31,17.6,-0.1,9.5,0.0,18.6,32.4,35981.02
2000-02-01,15.9,6.2,10.9,0.0,21.0,34.6,35608.68
2000-02-02,17.2,2.9,10.5,0.0,13.2,22.3,36028.46
2000-02-03,18.6,3.1,11.4,0.0,13.6,19.8,36024.71
2000-02-04,20.2,4.2,13.2,0.0,16.0,22.3,36084.31
2000-02-05,18.6,6.4,12.9,0.0,21.7,32.8,31088.78
2000-02-06,15.6,8.1,11.7,0.0,27.1,41.4,31746.95
2000-02-07,15.7,4.4,10.5,0.0,20.6,33.5,36222.6
2000-02-08,15.0,1.6,9.5,0.0,13.2,25.2,28213.24
2000-02-09,15.3,6.5,11.0,0.0,14.6,28.4,31204.05
2000-02-10,15.8,4.9,11.1,0.0,17.4,31.7,36387.15
2000-02-11,15.5,5.5,11.0,0.5,29.7,51.1,36391.7
2000-02-12,14.2,2.2,8.5,0.0,28.0,45.7,36395.47
2000-02-13,15.9,1.1,9.4,0.0,16.8,31.0,36486.16
2000-02-14,16.5,3.3,10.6,0.0,19.5,32.0,36580.47
2000-02-15,16.7,2.6,10.5,0.0,15.0,25.9,36586.31
2000-02-16,16.1,5.4,11.3,0.0,20.4,35.3,32957.25
2000-02-17,17.7,4.2,11.7,0.0,13.7,26.3,36811.5
2000-02-18,19.4,3.5,12.4,0.0,20.1,35.3,36974.32
2000-02-19,18.4,6.6,12.6,0.0,28.1,45.4,36980.66
2000-02-20,19.2,4.8,12.6,0.0,15.7,29.9,37086.59
2000-02-21,21.2,7.0,13.9,0.0,17.0,26.6,37266.6
2000-02-22,19.3,7.2,13.7,0.0,22.7,38.5,37245.41
2000-02-23,19.1,6.3,13.4,0.0,14.2,27.7,37359.32
2000-02-24,22.1,4.9,14.1,0.0,25.4,37.1,37043.97
2000-02-25,15.0,6.4,10.3,1.3,30.3,46.4,36265.75
2000-02-26,17.2,5.1,10.5,0.0,26.1,40.3,37487.88
2000-02-27,16.9,4.7,11.0,0.0,22.1,38.2,37694.23
2000-02-28,17.1,2.7,10.8,0.0,15.2,27.4,37999.95
2000-02-29,19.3,3.7,12.3,0.0,16.5,26.3,38221.72
2000-03-01,19.5,6.2,13.4,0.0,20.8,36.4,38333.78
2000-03-02,21.9,5.0,14.1,0.0,17.4,31.7,38736.25
2000-03-03,25.0,8.3,16.5,0.0,25.2,38.9,38789.31
2000-03-04,20.2,7.0,14.0,0.0,22.5,37.8,38930.43
2000-03-05,22.5,5.8,14.6,0.0,15.3,28.4,39082.71
2000-03-06,25.1,7.2,16.9,0.0,28.7,43.6,39348.48
2000-03-07,18.2,7.5,13.0,0.0,28.3,45.7,38832.77
2000-03-08,17.2,4.6,11.4,0.0,21.3,36.7,39672.48
2000-03-09,17.9,4.5,11.7,0.0,21.7,38.2,39838.52
2000-03-10,18.5,4.5,12.0,0.0,25.4,42.5,40028.45
2000-03-11,20.9,5.0,13.5,0.0,20.9,32.8,40124.39
2000-03-12,22.5,5.8,14.8,0.0,9.1,23.8,40220.2
2000-03-13,24.8,9.0,17.1,0.0,14.9,24.8,40315.78
2000-03-14,24.9,8.4,17.6,0.0,22.2,36.7,40411.07
2000-03-15,24.8,8.9,17.7,0.0,19.8,38.2,40506.02
2000-03-16,25.7,9.3,18.4,0.0,17.2,31.7,40600.55
2000-03-17,27.3,10.9,19.5,0.0,27.3,42.1,39390.95
2000-03-18,20.7,8.2,14.6,0.0,30.5,50.0,40788.1
2000-03-19,21.8,7.8,14.9,0.0,34.4,54.7,40880.97
2000-03-20,23.3,10.5,16.5,0.0,45.3,69.5,40973.81
2000-03-21,23.2,9.9,16.7,0.0,30.0,47.9,41066.89
2000-03-22,22.0,8.8,16.0,0.0,20.7,34.6,41160.15
2000-03-23,22.4,8.1,15.8,0.0,20.2,35.3,41253.53
2000-03-24,21.2,6.2,14.8,0.0,16.6,29.2,41346.97
2000-03-25,23.4,7.0,16.0,0.0,16.2,31.0,41440.41
2000-03-26,25.2,8.4,17.3,0.0,24.7,42.1,41533.79
2000-03-27,28.1,9.6,19.3,0.0,23.2,39.6,41627.05
2000-03-28,29.2,12.1,21.1,0.0,26.2,43.2,40268.39
2000-03-29,32.0,13.9,23.5,0.0,21.2,36.0,41812.97
2000-03-30,35.6,14.5,26.0,0.0,23.9,31.3,41905.52
2000-03-31,33.8,15.9,26.1,0.0,22.2,35.6,41997.7
2000-04-01,34.3,16.5,26.3,0.0,26.6,41.4,39339.24
2000-04-02,33.8,18.5,26.5,0.0,23.9,40.0,42180.77
2000-04-03,36.3,18.6,28.0,0.0,22.0,39.6,42271.52
2000-04-04,39.4,21.8,31.1,0.0,28.3,47.2,42361.68
2000-04-05,36.7,23.5,29.8,0.0,32.4,49.7,42451.18
2000-04-06,30.6,17.3,23.7,0.0,37.2,58.7,42488.05
2000-04-07,28.5,15.6,22.3,0.0,37.1,58.7,42515.87
2000-04-08,29.1,14.6,22.0,0.0,30.0,51.1,42543.79
2000-04-09,31.4,14.3,23.4,0.0,28.7,49.3,42571.69
2000-04-10,38.8,17.7,28.5,0.0,24.8,43.2,42599.55
2000-04-11,41.1,23.2,32.6,0.0,31.3,51.5,42627.41
2000-04-12,36.3,24.1,29.8,0.0,27.9,44.6,42655.27
2000-04-13,28.1,13.5,21.7,0.0,25.6,42.8,42405.84
2000-04-14,30.1,14.1,22.5,0.0,23.3,41.0,42711.03
2000-04-15,38.1,16.2,27.3,0.0,24.5,42.5,42738.95
2000-04-16,35.7,19.7,28.5,0.0,23.4,38.2,42766.91
2000-04-17,36.0,14.8,26.7,0.0,26.4,43.6,42794.93
2000-04-18,28.2,15.5,22.1,0.0,36.4,53.6,42823.01
2000-04-19,25.3,12.0,19.1,0.0,24.0,41.4,42851.16
2000-04-20,27.3,11.5,20.7,0.0,21.9,37.4,42879.4
2000-04-21,28.2,14.3,22.2,0.0,26.3,39.2,42907.73
2000-04-22,28.4,12.9,21.8,0.0,17.1,29.5,42936.16
2000-04-23,28.4,14.0,22.5,0.0,18.4,32.0,42964.7
2000-04-24,30.1,13.8,23.6,0.0,15.8,27.7,43044.0
2000-04-25,30.6,16.4,24.4,0.0,23.9,41.0,43066.46
2000-04-26,32.0,15.2,25.2,0.0,17.6,32.4,43088.73
2000-04-27,34.8,18.7,27.6,0.0,17.6,32.4,42752.7
2000-04-28,36.8,20.0,29.2,0.0,23.0,41.8,41448.65
2000-04-29,34.6,22.3,28.8,0.0,37.1,54.4,39224.5
2000-04-30,35.1,19.9,28.0,0.0,28.9,50.4,41401.08
2000-05-01,37.3,22.6,29.9,0.0,30.5,50.4,36895.88
2000-05-02,38.1,22.1,30.7,0.0,33.8,59.4,43200.0
2000-05-03,33.5,19.2,27.2,0.0,24.7,39.2,43392.55
2000-05-04,31.9,17.0,25.1,0.0,22.9,36.7,43493.49
2000-05-05,29.1,15.7,23.4,0.0,19.7,30.6,43200.0
2000-05-06,29.9,16.3,23.7,0.0,21.2,33.1,41534.45
2000-05-07,31.5,16.5,24.6,0.0,22.3,38.9,43705.17
2000-05-08,32.3,17.7,25.3,0.0,24.1,42.8,43704.91
2000-05-09,32.4,18.2,25.8,0.0,25.5,43.6,43817.8
2000-05-10,31.4,17.9,25.2,0.0,25.2,41.0,43818.51
2000-05-11,30.8,17.6,25.0,0.0,23.9,43.9,43702.82
2000-05-12,31.6,17.5,25.3,0.0,26.4,44.3,43819.25
2000-05-13,32.8,17.2,26.0,0.0,23.8,41.4,43938.05
2000-05-14,34.1,18.9,27.5,0.0,23.5,41.4,44059.05
2000-05-15,35.8,19.2,28.9,0.0,18.6,35.6,44061.11
2000-05-16,37.5,22.5,30.9,0.0,27.4,38.5,44062.95
2000-05-17,33.5,18.7,26.7,0.0,30.0,46.4,44064.6
2000-05-18,32.0,17.9,25.5,0.0,22.5,37.1,44066.07
2000-05-19,36.9,19.9,28.9,0.0,30.1,49.3,44192.37
2000-05-20,34.4,21.5,28.5,0.0,32.2,51.5,44194.45
2000-05-21,35.0,22.0,29.0,0.0,31.1,48.2,44196.37
2000-05-22,34.2,20.4,27.9,0.0,23.1,38.9,44325.54
2000-05-23,37.1,21.3,29.8,0.0,24.7,41.8,44327.92
2000-05-24,38.3,22.3,31.6,0.0,25.3,37.8,44330.18
2000-05-25,36.9,23.0,30.5,0.0,30.3,47.5,44332.3
2000-05-26,40.3,23.7,32.2,0.0,36.4,59.4,44334.29
2000-05-27,38.8,24.7,32.6,0.0,27.4,45.7,39223.1
2000-05-28,38.3,25.8,32.7,0.0,26.7,41.8,22120.98
2000-05-29,34.4,21.5,28.6,0.0,25.7,38.9,44339.61
2000-05-30,33.5,18.4,26.6,0.0,24.1,36.7,44473.04
2000-05-31,33.0,18.5,26.5,0.0,23.1,36.0,44474.91
2000-06-01,33.1,19.7,27.2,0.0,23.4,35.6,44476.66
2000-06-02,32.8,20.6,27.3,0.0,28.0,42.5,44478.29
2000-06-03,32.8,19.7,27.1,0.0,26.2,41.0,44346.6
2000-06-04,33.5,20.8,27.9,0.1,28.2,45.7,44481.17
2000-06-05,33.6,19.9,27.7,0.0,29.2,47.9,44482.44
2000-06-06,34.3,19.0,27.4,0.0,26.8,40.0,44483.6
2000-06-07,34.5,19.5,27.7,0.0,23.5,39.6,44618.55
2000-06-08,36.7,21.5,29.7,0.0,24.7,42.1,44485.52
2000-06-09,37.2,23.9,30.9,0.0,22.8,37.8,40459.47
2000-06-10,38.6,23.0,31.9,0.0,20.8,33.5,44486.91
2000-06-11,38.4,23.5,32.1,0.0,21.4,37.4,44487.41
2000-06-12,38.4,23.9,32.1,0.0,23.7,37.4,44487.78
2000-06-13,36.2,23.9,30.6,0.0,31.8,51.1,44488.02
2000-06-14,35.2,21.4,29.1,0.0,24.2,41.4,44488.11
2000-06-15,35.6,21.2,29.1,0.0,22.3,38.2,44488.05
2000-06-16,36.3,20.0,29.1,0.0,17.1,30.2,44487.85
2000-06-17,35.9,21.1,29.4,0.0,27.4,41.4,44354.66
2000-06-18,34.1,20.1,27.9,0.0,26.8,42.1,44221.94
2000-06-19,31.9,19.0,26.2,0.0,23.5,37.8,44089.81
2000-06-20,32.2,19.0,26.5,0.0,27.8,42.1,44221.94
2000-06-21,31.3,17.6,25.4,0.0,26.5,42.5,44353.18
2000-06-22,31.0,17.2,24.9,0.0,22.8,38.9,44352.5
2000-06-23,31.8,18.8,25.8,0.0,22.1,37.4,44375.16
2000-06-24,32.7,18.4,26.3,0.0,20.5,32.8,44372.55
