Country,Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
Mexico,01-01-2000,24.3,6.7,15.5,0,19.4,35.3,35425.71
Mexico,02-01-2000,23.4,7.5,15.3,0,24.9,45,35465.37
Mexico,03-01-2000,23.5,6.9,14.5,0,18.4,34.6,35506.11
Mexico,04-01-2000,16.8,3.9,10,0,19.4,29.9,35547.81
Mexico,05-01-2000,22.2,2.7,11.7,0,26.9,48.2,35590.39
Mexico,06-01-2000,21.6,5.9,13.6,0,18.8,37.8,35633.74
Mexico,07-01-2000,21.1,4.9,13,0,23.4,41.8,35677.75
Mexico,08-01-2000,22.1,2.6,12.9,0,21.3,38.9,35722.32
Mexico,09-01-2000,21.7,6.3,13.5,0,20.6,40.7,35767.34
Mexico,10-01-2000,21.7,5.6,13.2,0,15.8,33.8,35812.71
Mexico,11-01-2000,23.2,4.3,13.7,0,11.8,26.3,35858.34
Mexico,12-01-2000,23.6,7.4,14.9,0,11.3,18.4,35904.11
Mexico,13-01-2000,23.5,6.8,15.4,0,19.7,38.2,35949.91
Mexico,14-01-2000,17.6,9.1,12.3,0,24.6,41.4,30222.81
Mexico,15-01-2000,17.9,7.8,11.5,0,26.8,46.4,26673.89
Mexico,16-01-2000,18.6,8.2,12.4,0,19.2,35.6,36000
Mexico,17-01-2000,18.9,6.4,11.7,0,14.7,31.7,36000
Mexico,18-01-2000,20.4,5.3,12.1,0,12.1,26.6,36000
Mexico,19-01-2000,22,3.8,13.1,0,9,22,36005.54
Mexico,20-01-2000,22.4,3.9,13.4,0,9.7,22.3,36004.29
Mexico,21-01-2000,21.9,4.3,13.2,0,13.9,23.8,36033.96
Mexico,22-01-2000,23.1,5.9,14.7,0,15.1,31.7,36035.27
Mexico,23-01-2000,22.9,4.7,14.1,0,13.9,26.6,36000
Mexico,24-01-2000,23.2,8.2,14.9,0,18.9,37.4,36078.77
Mexico,25-01-2000,23.9,6.6,15.1,0,17.7,36.4,36081.4
Mexico,26-01-2000,26.2,6.2,16.2,0,20.8,35.6,36133.58
Mexico,27-01-2000,24.1,6.7,15.7,0,19,38.5,36143.01
Mexico,28-01-2000,23.8,5.1,14.3,0,12.9,30.2,36202.91
Mexico,29-01-2000,24.3,4.7,14.2,0,19.7,36.4,36264.57
Mexico,30-01-2000,23.6,2.3,13.6,0,24.3,42.1,36052.9
Mexico,31-01-2000,23.4,3.5,14,0,19.8,35.3,36379.79
Mexico,01-02-2000,23.2,5.3,14.4,0,24.1,41.4,36044.34
Mexico,02-02-2000,19.5,5.4,11.1,0,27.2,43.6,36362.38
Mexico,03-02-2000,14.7,3.3,7.8,0,18.9,32,36517.8
Mexico,04-02-2000,19.1,-0.4,9.4,0,13,26.6,36375.77
Mexico,05-02-2000,21,4.3,11.7,0,23.2,43.2,36459.55
Mexico,06-02-2000,22.9,2.9,13.4,0,19.2,33.8,36336.39
Mexico,07-02-2000,22.8,6.5,14.5,0,20.1,38.9,36754.36
Mexico,08-02-2000,19.7,6,12.4,0,14.7,30.6,36819.79
Mexico,09-02-2000,22.7,4.2,13.6,0,15.2,28.4,36476.01
Mexico,10-02-2000,25.7,6.5,16.7,0,12,28.1,36535.02
Mexico,11-02-2000,25.8,10,18.1,0,16.8,29.5,37238.88
Mexico,12-02-2000,26,9.6,18.1,0,20.1,34.6,37162.85
Mexico,13-02-2000,26.2,9.1,17.8,0,16.7,36,37527.51
Mexico,14-02-2000,27.7,7.5,17.7,0,15.5,32,37547.76
Mexico,15-02-2000,27.7,9,18.9,0,15.5,34.2,36976.13
Mexico,16-02-2000,26.5,9.8,18.9,0,15,28.1,37756.81
Mexico,17-02-2000,27.3,9.5,18.7,0,18.2,36.4,37965.68
Mexico,18-02-2000,25.1,6.7,17,0,13.2,23,38012.05
Mexico,19-02-2000,24.7,9.3,16.6,0.1,27.1,46.4,36605.49
Mexico,20-02-2000,23.1,10.4,15.3,0,28.9,49.7,35528.26
Mexico,21-02-2000,24.1,9.4,15.3,1.6,21.9,42.5,36000
Mexico,22-02-2000,24.9,7.7,16.4,0,18.9,35.6,38361.26
Mexico,23-02-2000,25.6,7.8,17.2,0,25.4,40,38496.25
Mexico,24-02-2000,26.7,9.9,17.8,0,29.8,55.8,38727.98
Mexico,25-02-2000,25.8,8.8,17.4,0,19.9,37.8,39037.95
Mexico,26-02-2000,24.2,7.6,16,0,16.9,29.9,39120.38
Mexico,27-02-2000,24.7,9.8,16.1,0,28.9,46.1,38769.02
Mexico,28-02-2000,25.7,10.2,16.6,0.6,23.6,52.9,32400
Mexico,29-02-2000,25.6,9.1,18,0,10.9,23.4,35859.59
Mexico,01-03-2000,25.8,10.6,18.8,0,20.3,40.7,37573.89
Mexico,02-03-2000,26.5,9.9,18.7,0,19.1,36.4,34961.46
Mexico,03-03-2000,26.3,12.4,19.6,0,19.3,29.5,39210.95
Mexico,04-03-2000,25.9,12.6,17.6,1.1,24.2,42.5,34167.51
Mexico,05-03-2000,25,7.9,16.6,0,26.8,50.4,39330.54
Mexico,06-03-2000,24,6.9,15.5,0,33.4,59.8,39871.55
Mexico,07-03-2000,24.5,8.9,16.3,0,31.5,57.6,39956.5
Mexico,08-03-2000,26,7.6,16.8,0,18.9,36.4,40041.56
Mexico,09-03-2000,26.2,4.3,16.5,0,14,29.2,40126.62
Mexico,10-03-2000,26,8.2,17.3,0,19.7,40.7,40211.65
Mexico,11-03-2000,25.9,8.8,17.4,0,19.9,36,40296.59
Mexico,12-03-2000,25,8.9,16.5,0,23.5,44.3,40381.37
Mexico,13-03-2000,25.2,5.7,16.2,0,21.7,36.7,40465.92
Mexico,14-03-2000,24,8.3,15.9,0,23.2,38.2,39537.75
Mexico,15-03-2000,21.2,6.8,14.5,0,18.5,38.9,40634.18
Mexico,16-03-2000,23.9,4.7,15.1,0,14.6,28.8,40717.74
Mexico,17-03-2000,25.9,5.2,16.6,0,23.3,43.9,40800.86
Mexico,18-03-2000,24.1,7.6,16.6,0,21.3,42.5,40883.47
Mexico,19-03-2000,24.8,7,16.8,0,10.2,25.6,38536.71
Mexico,20-03-2000,25.9,9.6,17.5,0,35.6,62.6,41047.79
Mexico,21-03-2000,26.4,10.7,18.2,0,34.4,62.6,36551.61
Mexico,22-03-2000,26.9,11.7,19,0,33.7,60.1,41212.76
