Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,30.7,22.4,26.0,0.0,23.8,42.5,45678.66
2000-01-02,31.6,21.1,26.5,0.0,20.2,36.4,45555.64
2000-01-03,32.8,22.8,27.8,0.0,14.1,27.7,45501.51
2000-01-04,34.2,22.0,28.2,0.0,13.5,25.6,45674.38
2000-01-05,35.1,23.0,29.2,0.0,13.0,27.7,45290.11
2000-01-06,36.6,22.0,29.9,0.0,12.4,23.0,45464.36
2000-01-07,37.6,22.8,30.8,0.0,11.4,24.1,45162.46
2000-01-08,36.2,26.2,31.1,2.5,17.9,34.2,44671.47
2000-01-09,34.1,26.7,30.2,2.1,12.4,29.2,43900.71
2000-01-10,36.1,26.0,31.0,0.0,15.5,36.4,44945.33
2000-01-11,37.4,27.0,32.2,0.0,19.0,42.5,44362.81
2000-01-12,38.0,28.4,33.0,0.1,22.4,48.2,44364.09
2000-01-13,38.4,29.2,33.6,0.0,24.7,43.2,44257.57
2000-01-14,37.2,28.6,32.6,0.5,23.8,54.4,43794.41
2000-01-15,36.7,28.0,32.1,0.2,19.9,45.4,44061.32
2000-01-16,37.6,28.7,32.9,0.0,27.0,56.2,44290.59
2000-01-17,38.6,28.8,33.6,0.6,21.1,49.3,44552.79
2000-01-18,38.7,28.0,32.6,0.2,17.1,33.8,43943.87
2000-01-19,36.2,27.1,31.3,2.1,14.4,28.1,43652.24
2000-01-20,37.3,26.6,32.2,0.2,9.9,24.1,43971.52
2000-01-21,38.9,28.4,33.5,0.0,22.5,42.8,44196.76
2000-01-22,38.2,29.7,33.2,0.4,17.0,36.4,42382.36
2000-01-23,35.9,26.2,30.8,13.5,12.4,25.6,43504.57
2000-01-24,31.3,26.1,28.1,12.2,8.9,27.0,23556.6
2000-01-25,30.7,24.8,26.6,12.8,15.3,31.7,9566.05
2000-01-26,31.1,24.3,27.2,0.2,25.4,45.4,44248.44
2000-01-27,31.3,20.6,25.9,0.0,16.2,30.2,44367.61
2000-01-28,34.2,21.3,28.0,0.0,13.0,22.7,44234.4
2000-01-29,35.3,26.4,30.3,0.0,23.1,41.8,43231.84
2000-01-30,34.0,24.5,28.0,55.0,20.9,58.0,24733.64
2000-01-31,30.2,24.5,26.7,5.7,14.2,33.5,34396.68
2000-02-01,31.8,22.0,27.2,0.0,11.3,23.4,44024.61
2000-02-02,35.9,24.8,30.2,0.0,16.2,32.8,43586.78
2000-02-03,30.6,22.3,27.1,5.6,27.2,50.4,22673.6
2000-02-04,29.6,20.1,24.9,0.0,11.8,26.3,42320.26
2000-02-05,32.1,21.2,26.8,0.7,13.7,27.7,33556.86
2000-02-06,31.5,23.1,26.2,23.1,14.0,32.8,36902.15
2000-02-07,32.3,23.9,27.6,0.2,14.4,29.5,41771.21
2000-02-08,32.6,24.7,28.4,2.6,9.4,28.1,42303.64
2000-02-09,33.0,24.8,28.9,0.9,14.5,32.0,43163.14
2000-02-10,34.6,25.5,29.8,0.1,12.1,27.4,43341.06
2000-02-11,34.8,25.9,30.2,0.0,15.8,37.8,43162.38
2000-02-12,34.8,26.7,30.6,0.1,19.4,39.6,43337.23
2000-02-13,33.9,26.1,29.0,5.9,18.7,39.2,40380.76
2000-02-14,29.2,23.3,25.3,13.6,20.6,39.2,12727.33
2000-02-15,27.4,23.0,24.9,0.7,24.9,46.4,8771.99
2000-02-16,28.5,23.1,25.6,0.2,21.0,37.1,25596.26
2000-02-17,29.5,21.9,26.0,0.0,19.1,34.6,42891.48
2000-02-18,31.0,21.9,26.4,0.5,16.6,32.4,42859.22
2000-02-19,32.6,23.9,27.7,0.4,15.3,31.3,42827.33
2000-02-20,33.9,24.8,28.8,1.2,16.9,34.2,42795.81
2000-02-21,31.6,23.6,26.3,23.0,13.3,27.0,28634.48
2000-02-22,30.7,23.2,26.0,2.4,7.6,25.2,27515.95
2000-02-23,32.9,23.9,28.1,2.2,10.1,28.4,42703.41
2000-02-24,33.5,25.1,29.2,0.0,11.9,30.2,38129.22
2000-02-25,34.2,25.9,29.7,0.0,18.8,45.4,42643.58
2000-02-26,35.1,26.3,30.6,0.0,24.7,49.7,42614.18
2000-02-27,35.7,27.4,31.3,0.0,28.9,61.2,42585.12
2000-02-28,35.5,24.7,29.3,19.8,18.2,44.3,32906.8
2000-02-29,29.2,24.1,25.8,15.0,12.6,22.7,15751.59
2000-03-01,31.0,23.7,27.0,1.9,9.5,20.5,38777.76
2000-03-02,30.9,23.5,26.9,7.6,11.2,18.7,32475.65
2000-03-03,31.4,25.2,27.7,1.0,15.2,28.1,31720.18
2000-03-04,31.4,24.6,27.8,9.8,15.4,36.4,30599.5
2000-03-05,31.2,25.2,27.7,4.1,16.7,29.5,31052.56
