Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,-1.9,-7.4,-4.5,0.1,4.9,18.7,25200.0
2000-01-02,-0.2,-7.1,-3.6,0.0,5.0,30.6,25715.69
2000-01-03,-0.2,-8.4,-4.7,0.0,5.5,24.1,26290.32
2000-01-04,-0.1,-5.0,-2.7,0.1,6.2,41.8,26244.2
2000-01-05,0.8,-9.6,-3.4,0.5,6.4,37.4,15177.5
2000-01-06,0.8,-9.9,-5.6,0.0,7.6,26.6,21167.5
2000-01-07,-0.2,-7.7,-2.6,0.0,5.2,20.5,26445.8
2000-01-08,-1.7,-12.1,-7.2,0.0,4.6,21.6,26597.49
2000-01-09,-2.2,-9.4,-5.7,1.2,4.6,17.6,0.0
2000-01-10,-2.0,-4.7,-2.9,0.0,3.2,12.6,4414.04
2000-01-11,-2.3,-9.2,-5.9,0.0,4.5,18.4,26658.5
2000-01-12,-2.2,-12.2,-8.4,0.0,5.0,19.1,27114.08
2000-01-13,-2.7,-12.3,-8.2,0.0,7.1,22.3,27371.87
2000-01-14,-4.4,-17.1,-9.6,0.0,8.5,29.5,27384.87
2000-01-15,-2.1,-12.2,-7.9,0.0,7.2,28.1,25055.12
2000-01-16,-4.8,-10.9,-7.7,0.0,4.7,36.7,27763.14
2000-01-17,-2.4,-11.1,-7.1,0.0,5.0,40.3,26974.99
2000-01-18,-3.2,-4.9,-3.9,4.6,5.9,39.2,337.08
2000-01-19,-4.3,-7.2,-6.0,1.3,6.6,31.0,25334.55
2000-01-20,-3.5,-14.7,-8.8,0.0,5.1,31.0,28605.83
2000-01-21,-5.2,-10.1,-7.3,0.0,4.7,30.2,27649.21
2000-01-22,-4.6,-10.7,-7.7,6.7,5.1,59.8,15025.71
2000-01-23,-6.4,-8.2,-7.3,15.5,6.3,40.0,2045.98
2000-01-24,-6.9,-14.2,-10.0,4.6,4.4,24.1,25478.15
2000-01-25,-8.8,-20.6,-15.3,0.0,5.2,20.5,29231.42
2000-01-26,-6.6,-19.6,-14.3,0.0,6.9,20.2,29599.79
2000-01-27,-4.7,-15.1,-11.0,0.0,6.0,24.8,29770.22
2000-01-28,-4.1,-15.6,-10.4,0.0,6.2,41.8,29018.39
2000-01-29,-3.8,-15.5,-9.9,6.8,9.4,67.7,5095.83
2000-01-30,-0.1,-3.5,-1.8,23.9,9.2,74.9,0.0
2000-01-31,5.3,-8.1,-1.3,0.0,7.3,46.4,26983.57
2000-02-01,6.7,-6.4,-1.4,0.0,7.3,29.2,30657.84
2000-02-02,2.3,-4.1,-1.0,10.9,5.4,34.6,0.0
2000-02-03,0.0,-5.5,-1.9,3.3,5.1,29.2,19574.58
2000-02-04,3.7,-9.7,-4.0,0.0,5.8,27.4,31118.96
2000-02-05,6.2,-5.5,-1.2,0.0,4.8,23.8,31208.41
2000-02-06,6.3,-6.7,-2.0,0.0,5.8,24.1,30581.53
2000-02-07,1.9,-4.1,-1.0,0.9,6.9,45.7,14930.13
2000-02-08,3.3,-2.5,0.3,12.8,9.0,67.0,3025.0
2000-02-09,1.5,-4.1,-2.4,19.2,10.9,86.8,23161.7
2000-02-10,5.4,-7.8,-2.4,0.4,7.2,40.7,31963.72
2000-02-11,0.0,-4.2,-2.1,8.6,5.5,34.2,1248.28
2000-02-12,-0.5,-6.8,-3.4,0.0,6.9,32.4,31966.19
2000-02-13,-0.8,-5.2,-2.9,9.3,5.8,44.3,0.0
2000-02-14,1.1,-4.2,-1.0,2.4,5.2,29.5,32348.33
2000-02-15,0.5,-7.1,-1.8,6.9,7.2,44.6,2575.56
2000-02-16,-2.4,-5.9,-3.6,19.9,9.4,88.6,18716.78
