Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
2000-01-01,30.9,21.2,25.7,0.2,8.3,21.6,36751.08
2000-01-02,31.3,21.4,25.4,3.4,6.8,30.2,35003.95
2000-01-03,33.7,20.4,26.3,0.0,9.9,24.8,37298.43
2000-01-04,34.0,18.4,25.9,0.0,13.0,36.4,37946.32
2000-01-05,33.9,18.4,26.2,0.0,9.1,29.9,37950.17
2000-01-06,33.7,18.9,26.1,0.0,12.7,34.6,37727.37
2000-01-07,33.8,19.9,26.4,0.0,6.4,20.5,37751.4
2000-01-08,33.6,19.3,26.3,0.0,6.3,22.0,37741.66
2000-01-09,33.9,19.1,26.4,0.0,6.3,20.5,36380.98
2000-01-10,33.6,20.1,26.6,0.0,9.0,19.4,36367.72
2000-01-11,32.4,21.4,26.7,0.0,8.7,23.0,37072.66
2000-01-12,34.1,21.8,27.1,0.0,7.7,23.0,37309.24
2000-01-13,32.8,21.3,26.7,0.0,8.7,26.3,37188.05
2000-01-14,31.1,21.7,26.0,0.5,8.4,25.6,36725.05
2000-01-15,33.7,21.4,27.2,0.0,8.6,23.8,37331.66
2000-01-16,34.1,21.3,27.5,0.0,8.1,24.5,37208.16
2000-01-17,35.9,20.5,27.9,0.0,10.3,30.6,38499.39
2000-01-18,34.2,21.7,27.3,0.0,9.9,25.6,36321.41
2000-01-19,32.7,21.6,26.7,0.5,9.6,22.0,36888.57
2000-01-20,33.2,22.5,26.9,1.2,9.4,30.2,31511.62
2000-01-21,31.3,21.6,25.1,17.8,9.3,29.2,25866.65
2000-01-22,31.1,20.9,25.1,4.2,10.6,28.8,36400.08
2000-01-23,34.2,21.5,26.8,0.1,10.9,29.5,37551.92
2000-01-24,32.9,21.5,26.8,0.0,9.8,23.0,37387.38
2000-01-25,33.4,22.4,27.1,0.0,8.7,25.6,37902.64
2000-01-26,34.0,22.5,27.1,0.6,8.4,28.4,37253.83
2000-01-27,35.2,21.8,27.7,0.0,11.2,30.2,38575.61
2000-01-28,35.0,21.3,27.6,0.0,11.5,31.0,38691.56
2000-01-29,34.2,21.5,27.1,0.0,11.1,28.8,38714.73
2000-01-30,33.9,18.8,25.7,0.0,12.4,33.1,38829.43
2000-01-31,34.0,18.3,25.7,0.0,11.6,27.4,38851.4
2000-02-01,32.0,18.1,24.2,0.0,15.9,40.0,38780.42
2000-02-02,31.8,16.6,23.5,0.0,12.1,32.8,38708.49
2000-02-03,32.6,16.6,24.1,0.0,11.0,31.0,38913.38
2000-02-04,33.1,17.0,24.7,0.0,9.8,28.8,38839.75
