Country,Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
USA,01-01-2000,16.9,5.5,10.6,0,27,50.8,31290.47
USA,02-01-2000,14.6,5.9,11.9,0,26.7,51.5,31333.06
USA,03-01-2000,9,1.5,5.2,7.1,20.7,42.8,29932.41
USA,04-01-2000,1.7,-4,-0.9,0.7,24.7,50,31429.79
USA,05-01-2000,7.1,-2.4,1.6,0,28,56.9,31483.69
USA,06-01-2000,9.1,-1,3.2,0,13.1,25.6,31541.13
USA,07-01-2000,10,-2.3,3.1,0,9.3,21.6,31601.99
USA,08-01-2000,8.4,3.5,6.9,2.2,19,35.3,0
USA,09-01-2000,12,5.7,8.1,0,18.8,37.4,26276.75
USA,10-01-2000,14.1,3.1,7.4,0,19.5,39.6,31803.86
USA,11-01-2000,10.3,0,5.3,0,10.7,22.7,31877.18
USA,12-01-2000,16.5,4.3,8.9,0,17.4,41,31953.33
USA,13-01-2000,7.3,0.3,4,0,17.7,35.6,32032.17
USA,14-01-2000,9.7,-1.3,3.7,0,21.7,45.4,32113.59
USA,15-01-2000,15.9,5.6,10,0,26,53.6,32161.93
USA,16-01-2000,11.9,7.8,9.5,0.4,15.7,31,0
USA,17-01-2000,14.6,7.4,11,0.2,14.2,31,3569.51
USA,18-01-2000,8.8,3.5,5.9,0,13.4,28.1,18591.02
USA,19-01-2000,14.5,3.1,8.3,0.4,31.3,59.8,18036.78
USA,20-01-2000,1.4,-4.6,-1.5,0,23.5,54,32293.41
USA,21-01-2000,6.8,-2.7,1.5,0,17.3,32.8,28553.8
USA,22-01-2000,11.4,2.8,6.2,0,16.1,30.6,28626.99
USA,23-01-2000,6.2,-1.9,2.3,0.2,19.1,38.2,20656.16
USA,24-01-2000,3.2,-5.2,-1.6,0,12.3,27.7,32400
USA,25-01-2000,0.9,-3.8,-1.8,0,22.6,45.4,32825.05
USA,26-01-2000,-1.4,-3.4,-2.5,1.1,6.6,19.4,0
USA,27-01-2000,-1.3,-4.1,-2.8,6.7,14.8,28.1,1408.08
USA,28-01-2000,-1,-5.3,-3.5,0.8,9.2,18,17755.08
USA,29-01-2000,-1.9,-7.2,-4.3,0.5,10.7,22.3,30225.84
USA,30-01-2000,-0.3,-9.5,-5.1,0,10.5,21.6,33198.85
USA,31-01-2000,2.1,-8.4,-3.5,0,11.5,27.4,33405.24
USA,01-02-2000,2.6,-4.2,-1.7,0,12.6,29.9,33598.57
USA,02-02-2000,6.9,-7.2,0.1,0,17.9,37.1,33802.47
