Country,Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
Vietnam,01-01-2000,24.7,16.7,20.1,0,20.1,49.3,36823.27
Vietnam,02-01-2000,24.4,18.5,20.6,0,23.2,55.8,25041.78
Vietnam,03-01-2000,25.1,18.1,20.8,0,20.3,47.5,36071.96
Vietnam,04-01-2000,25.8,16.5,20.6,0,13.4,36.7,37026.43
Vietnam,05-01-2000,26.6,16.9,21.5,0,9.4,29.5,37126.75
Vietnam,06-01-2000,27,19.1,22.3,1.2,7.7,20.9,36000
Vietnam,07-01-2000,26.8,19,21.8,0,13.4,33.1,36024.42
Vietnam,08-01-2000,26.7,17.3,21,0,13.1,32.8,36188.06
Vietnam,09-01-2000,28.3,15.6,21.1,0,11.6,28.4,36141.04
Vietnam,10-01-2000,27,14.7,20.8,0,12.6,32.8,37445.12
Vietnam,11-01-2000,26.1,18.5,21.9,0,11.9,32.4,31361.7
Vietnam,12-01-2000,28.6,19.5,23.1,0,7.6,22,36210.99
Vietnam,13-01-2000,28.4,19.6,23.3,0.2,8.3,19.8,36292.76
Vietnam,14-01-2000,27,19.8,22.6,1.7,11.2,26.3,36095.19
Vietnam,15-01-2000,28.7,18.4,22.7,0,10.9,27,36779.29
Vietnam,16-01-2000,29.2,18.6,22.8,0,14.1,34.2,37053.68
Vietnam,17-01-2000,27.4,17.2,21.7,0,15.6,38.2,37129.91
Vietnam,18-01-2000,24.6,17.8,20.3,0,19.9,49,36587.1
Vietnam,19-01-2000,22.5,17,19.1,0,23.9,57.6,31857.25
Vietnam,20-01-2000,23.3,16.3,18.8,0.1,25.9,63.4,35568.55
Vietnam,21-01-2000,25.1,15.8,19.7,0,21.3,55.8,37178.94
Vietnam,22-01-2000,25.9,17.7,20.7,0,23,54,28166.85
Vietnam,23-01-2000,24.3,18.2,21.1,1.6,17.2,41,21983.07
Vietnam,24-01-2000,23.4,19.2,21,0,14.6,39.2,5755.61
Vietnam,25-01-2000,25.6,19.5,21.7,0.1,22.5,55.4,32790.99
Vietnam,26-01-2000,24.2,16.4,19.8,0.6,26.8,71.6,29103.48
Vietnam,27-01-2000,21.8,15.4,17.8,0,33.2,78.5,36481.88
Vietnam,28-01-2000,22.6,15.1,17.8,0,26.9,64.4,35610.39
Vietnam,29-01-2000,23.5,15.6,18.6,0,25.3,62.3,35953.63
Vietnam,30-01-2000,22.4,16.2,18.3,0,30.2,73.4,34968.39
Vietnam,31-01-2000,22.7,16.1,18.4,0,29.1,70.9,33410.04
Vietnam,01-02-2000,22.1,15.2,17.9,0,30.8,74.5,36754.46
Vietnam,02-02-2000,23.7,14.6,17.9,0,20.9,55.4,37567.1
Vietnam,03-02-2000,25.8,14.9,19.5,0,16.1,42.8,34998.67
Vietnam,04-02-2000,26.8,16.1,20.6,0,16.4,45,37308.98
Vietnam,05-02-2000,26.1,18,21.1,0,22.4,51.1,37371.86
Vietnam,06-02-2000,25.2,16.5,19.8,0,19.7,54,37889.68
Vietnam,07-02-2000,24.3,15.9,18.8,0,17,43.6,24685.75
Vietnam,08-02-2000,25.6,15.5,18.5,0,17.9,47.5,35950.96
Vietnam,09-02-2000,25,14.7,18.6,0,17.4,44.3,38366.98
Vietnam,10-02-2000,28.2,13.9,20.4,0,10.7,30.2,37550.89
Vietnam,11-02-2000,30,16.2,21.9,0,15.6,38.5,38661.73
